source,target,type,subtype
fu:416a5afd,fu:5800992d,protein_protein_interaction,phosphorylation
fu:5e60e9dc,fu:5800992d,protein_protein_interaction,phosphorylation
fu:5800992d,fu:bfc9ae48,protein_protein_interaction,phosphorylation
fu:5800992d,fu:5fde3828,protein_protein_interaction,phosphorylation
fu:5800992d,fu:31725aa3,protein_protein_interaction,phosphorylation
fu:5800992d,fu:0a37beb9,protein_protein_interaction,phosphorylation
fu:5800992d,fu:dda08e08,protein_protein_interaction,phosphorylation
fu:5800992d,fu:45df5340,protein_protein_interaction,phosphorylation
fu:5800992d,fu:f101a6f1,protein_protein_interaction,phosphorylation
fu:5800992d,fu:9ac97dd2,protein_protein_interaction,phosphorylation
fu:5800992d,fu:8c7ba104,protein_protein_interaction,phosphorylation
fu:5800992d,fu:b8ada536,protein_protein_interaction,phosphorylation
fu:5800992d,fu:e45fbd5c,protein_protein_interaction,phosphorylation
fu:9ac97dd2,fu:6953fac9,protein_protein_interaction,phosphorylation
fu:8c7ba104,fu:6953fac9,protein_protein_interaction,phosphorylation
fu:8c7ba104,fu:7bca3a7b,protein_protein_interaction,phosphorylation
fu:b8ada536,fu:7bca3a7b,protein_protein_interaction,phosphorylation
fu:faf1b7e0,fu:f05aba10,protein_protein_interaction,phosphorylation
fu:f05aba10,fu:14d50a78,protein_protein_interaction,phosphorylation
fu:eadbb23d,fu:b9ec221f,protein_protein_interaction,phosphorylation
fu:eadbb23d,fu:523a744b,protein_protein_interaction,phosphorylation
fu:eadbb23d,fu:ee804b17,protein_protein_interaction,phosphorylation
fu:eadbb23d,fu:4781eb07,protein_protein_interaction,phosphorylation
fu:210acb65,fu:523a744b,protein_protein_interaction,phosphorylation
fu:210acb65,fu:d7921de4,protein_protein_interaction,phosphorylation
fu:28d07664,fu:66672553,protein_protein_interaction,phosphorylation
fu:210acb65,fu:ee804b17,protein_protein_interaction,phosphorylation
fu:210acb65,fu:4781eb07,protein_protein_interaction,phosphorylation
fu:d7921de4,fu:fefb3eac,protein_protein_interaction,phosphorylation
fu:66672553,fu:fefb3eac,protein_protein_interaction,phosphorylation
fu:fefb3eac,fu:1b813b45,protein_protein_interaction,phosphorylation
fu:fefb3eac,fu:f5686479,protein_protein_interaction,phosphorylation
fu:fefb3eac,fu:5fde3828,protein_protein_interaction,phosphorylation
fu:fefb3eac,fu:31725aa3,protein_protein_interaction,phosphorylation
fu:fefb3eac,fu:73b76124,protein_protein_interaction,inhibition|phosphorylation
fu:fefb3eac,fu:55bfa81d,protein_protein_interaction,inhibition|phosphorylation
fu:ff2e7a0f,fu:73b76124,protein_protein_interaction,dephosphorylation
fu:41203a8a,fu:aacf07bb,protein_protein_interaction,inhibition|phosphorylation
fu:41203a8a,fu:d7921de4,protein_protein_interaction,inhibition|phosphorylation
fu:ff2e7a0f,fu:55bfa81d,protein_protein_interaction,dephosphorylation
fu:7d8d1672,fu:cb603216,protein_protein_interaction,inhibition
fu:3968d652,fu:cb603216,protein_protein_interaction,inhibition
fu:30ad397b,fu:cb603216,protein_protein_interaction,inhibition
fu:645ada17,fu:7c6d4d4a,protein_protein_interaction,inhibition|dephosphorylation
fu:bd9bd64d,fu:7c6d4d4a,protein_protein_interaction,inhibition|dephosphorylation
fu:da3df1ca,fu:fefb3eac,protein_protein_interaction,inhibition|dephosphorylation
fu:da3df1ca,fu:5800992d,protein_protein_interaction,inhibition|dephosphorylation
fu:7da6eba5,fu:fefb3eac,protein_protein_interaction,inhibition|dephosphorylation
fu:7da6eba5,fu:5800992d,protein_protein_interaction,inhibition|dephosphorylation
fu:5dc42453,fu:416a5afd,protein_protein_interaction,inhibition|dephosphorylation
fu:5dc42453,fu:5e60e9dc,protein_protein_interaction,inhibition|dephosphorylation
fu:5dc42453,fu:66672553,protein_protein_interaction,inhibition|dephosphorylation
fu:5dc42453,fu:d7921de4,protein_protein_interaction,inhibition|dephosphorylation
fu:306b6021,fu:aacf07bb,protein_protein_interaction,inhibition|dephosphorylation
fu:3c67a02d,fu:cabad419,protein_protein_interaction,inhibition|dephosphorylation
fu:6a22a160,fu:fefb3eac,protein_protein_interaction,inhibition
fu:5fff24cf,fu:fefb3eac,protein_protein_interaction,inhibition
fu:839c82c3,fu:5926e68e,gene_expression_regulation,expression
fu:cec976f1,fu:d7d24a4c,protein_protein_interaction,indirect effect
fu:b9ec221f,fu:3c93b301,protein_protein_interaction,indirect effect
fu:523a744b,fu:3c93b301,protein_protein_interaction,indirect effect
fu:bd379c39,fu:ea3af571,protein_protein_interaction,compound
fu:bd379c39,fu:a6602c7f,protein_protein_interaction,compound
fu:eda4acea,fu:9a263ecd,protein_protein_interaction,activation
fu:eda4acea,fu:210acb65,protein_protein_interaction,activation
fu:b9ec221f,fu:523a744b,protein_protein_interaction,phosphorylation
fu:d7d24a4c,fu:cabad419,protein_protein_interaction,activation
fu:545ebf7d,fu:cabad419,protein_protein_interaction,activation
fu:cb1c88d1,fu:fd78464d,protein_protein_interaction,
