Entrez ID,Gene Symbol,Oncogene Score,p-value,LogFC
55686,MREG,0.0134113,4.04e-11,3.24213
57447,NDRG2,0.129763,4.11e-11,-3.0885
7326,UBE2G1,0.00147832,4.15e-11,3.02392
8190,MIA,0.00969353,4.43e-11,-3.59229
2348,FOLR1,0.107139,4.58e-11,-4.20614
5912,RAP2B,0.0943169,4.73e-11,3.4328
477,ATP1A2,0.106868,4.75e-11,-4.78756
51125,GOLGA7,,4.84e-11,3.83646
528,ATP6V1C1,0.085605,4.93e-11,3.12296
55273,TMEM100,0.0788498,5.12e-11,-3.92728
7040,TGFB1,0.143847,5.3e-11,3.19394
3916,LAMP1,0.0930146,5.32e-11,4.38562
5502,PPP1R1A,0.0215286,5.39e-11,-4.90514
5205,ATP8B1,0.00258706,5.42e-11,3.39957
8416,ANXA9,0.0957625,6.04e-11,3.98727
860,RUNX2,0.11786,6.04e-11,3.11088
54431,DNAJC10,0.0412102,6.15e-11,3.27022
55002,TMCO3,,6.49e-11,3.14684
367,AR,0.742052,6.49e-11,4.25029
9147,NEMF,0.118266,6.59e-11,3.26349
58475,MS4A7,0.0100082,6.63e-11,5.72825
3337,DNAJB1,0.27087,6.66e-11,3.11708
7511,XPNPEP1,0.0150458,7.1e-11,3.02221
153579,BTNL9,0.050247,7.54e-11,-4.9126
58505,OSTC,0.0164472,8.14e-11,3.11068
9341,VAMP3,0.0375635,8.15e-11,4.42989
11096,ADAMTS5,0.0523067,8.15e-11,-3.06773
948,CD36,0.120903,8.55e-11,-4.54866
6992,PPP1R11,,8.94e-11,3.51674
5348,FXYD1,0.0106837,8.94e-11,-4.06279
80127,BBOF1,0.004543,9.27e-11,3.05466
2310,FOXO3B,0.0314217,9.27e-11,3.67349
255743,NPNT,0.0569847,9.36e-11,3.82713
115330,GPR146,0.0134464,9.71e-11,-3.393
11212,PROSC,,9.77e-11,3.11707
950,SCARB2,0.0267664,1.03e-10,3.87265
51466,EVL,0.0177632,1.11e-10,3.06677
9589,WTAP,0.0431054,1.13e-10,3.12748
10140,TOB1,0.0681306,1.14e-10,6.18304
2200,FBN1,0.0216043,1.32e-10,4.9566
84898,PLXDC2,0.00793656,1.35e-10,3.56142
5782,PTPN12,0.0855061,1.38e-10,3.1618
1879,EBF1,0.671822,1.4e-10,-3.0824
5878,RAB5C,0.0255186,1.4e-10,3.04084
1289,COL5A1,0.0888841,1.4e-10,3.34808
1266,CNN3,0.0206969,1.5e-10,4.03594
5573,PRKAR1A,0.429027,1.61e-10,3.2946
7498,XDH,0.0508266,1.68e-10,-4.0645
11130,ZWINT,0.113308,1.69e-10,3.53311
56204,FAM214A,,1.71e-10,3.62404
219348,PLAC9,0.0193461,1.71e-10,-3.76609
2665,GDI2,0.197259,1.73e-10,4.2912
25782,RAB3GAP2,0.0492888,1.73e-10,3.03642
6451,SH3BGRL,0.0963612,1.84e-10,4.02261
2288,FKBP4,0.112492,1.89e-10,3.14921
241,ALOX5AP,0.010344,2.06e-10,3.98051
57674,RNF213,0.286416,2.08e-10,3.22588
3431,SP110,0.00295784,2.14e-10,3.59454
6599,SMARCC1,0.0839242,2.21e-10,3.12315
