#node1,node2,node1_string_id,node2_string_id,combined_score
AR,PGR,9606.ENSP00000363822,9606.ENSP00000325120,0.766
AR,NRIP1,9606.ENSP00000363822,9606.ENSP00000327213,0.563
AR,TGIF1,9606.ENSP00000363822,9606.ENSP00000327959,0.608
AR,TAB2,9606.ENSP00000363822,9606.ENSP00000356426,0.414
AR,H2BC21,9606.ENSP00000363822,9606.ENSP00000358151,0.643
AR,H2AC18,9606.ENSP00000363822,9606.ENSP00000358155,0.66
AR,VAV3,9606.ENSP00000363822,9606.ENSP00000359073,0.4
AR,RUNX2,9606.ENSP00000363822,9606.ENSP00000360493,0.881
AR,HSP90AB1,9606.ENSP00000363822,9606.ENSP00000360609,0.999
AR,PGK1,9606.ENSP00000363822,9606.ENSP00000362413,0.621
AR,DCTN4,9606.ENSP00000363822,9606.ENSP00000414906,0.4
AR,TPD52,9606.ENSP00000363822,9606.ENSP00000429309,0.451
AR,BMPR1B,9606.ENSP00000363822,9606.ENSP00000401907,0.486
AR,H2BS1,9606.ENSP00000363822,9606.ENSP00000481622,0.537
AR,H2BC9,9606.ENSP00000363822,9606.ENSP00000479169,0.538
AR,H2BC11,9606.ENSP00000363822,9606.ENSP00000476136,0.538
AR,FKBP5,9606.ENSP00000363822,9606.ENSP00000444810,0.905
ARF4,ARFGEF1,9606.ENSP00000306010,9606.ENSP00000262215,0.415
ARF4,TMED2,9606.ENSP00000306010,9606.ENSP00000262225,0.727
ARF4,RAB5A,9606.ENSP00000306010,9606.ENSP00000273047,0.476
ARF4,RASA1,9606.ENSP00000306010,9606.ENSP00000274376,0.607
ARF4,ARFGEF2,9606.ENSP00000306010,9606.ENSP00000360985,0.463
ARF4,MORF4L2,9606.ENSP00000306010,9606.ENSP00000394417,0.485
ARF4,KIF26B,9606.ENSP00000306010,9606.ENSP00000385545,0.533
ARF4,DCTN4,9606.ENSP00000306010,9606.ENSP00000414906,0.57
ARF4,KDELR1,9606.ENSP00000306010,9606.ENSP00000329471,0.626
ARF4,KDELR3,9606.ENSP00000306010,9606.ENSP00000386918,0.708
ARF4,RAB1A,9606.ENSP00000306010,9606.ENSP00000387286,0.76
ARFGEF1,RHOA,9606.ENSP00000262215,9606.ENSP00000400175,0.522
ARFGEF1,PRKAR1A,9606.ENSP00000262215,9606.ENSP00000376475,0.563
ARFGEF1,ARFGEF2,9606.ENSP00000262215,9606.ENSP00000360985,0.83
ARFGEF2,CCT2,9606.ENSP00000360985,9606.ENSP00000299300,0.514
ARFGEF2,XRN2,9606.ENSP00000360985,9606.ENSP00000366396,0.403
ARFGEF2,PRKAR1A,9606.ENSP00000360985,9606.ENSP00000376475,0.561
ARHGAP32,RASA1,9606.ENSP00000310561,9606.ENSP00000274376,0.793
ARHGAP32,YWHAZ,9606.ENSP00000310561,9606.ENSP00000379287,0.551
ARHGAP32,RHOA,9606.ENSP00000310561,9606.ENSP00000400175,0.911
ARHGDIB,TIAM1,9606.ENSP00000228945,9606.ENSP00000286827,0.417
ARHGDIB,NTRK2,9606.ENSP00000228945,9606.ENSP00000277120,0.464
ARHGDIB,WSB1,9606.ENSP00000228945,9606.ENSP00000262394,0.488
ARHGDIB,RHOH,9606.ENSP00000228945,9606.ENSP00000371219,0.85
ARHGDIB,RHOA,9606.ENSP00000228945,9606.ENSP00000400175,0.995
ARIH1,WSB1,9606.ENSP00000369217,9606.ENSP00000262394,0.41
ARIH1,UBE2N,9606.ENSP00000369217,9606.ENSP00000316176,0.897
ARIH1,JAK1,9606.ENSP00000369217,9606.ENSP00000499900,0.473
ARIH1,UBE2G1,9606.ENSP00000369217,9606.ENSP00000380178,0.507
ASAH1,TPP1,9606.ENSP00000371152,9606.ENSP00000299427,0.501
ASAH1,SGPL1,9606.ENSP00000371152,9606.ENSP00000362298,0.56
ASAH1,UGCG,9606.ENSP00000371152,9606.ENSP00000363397,0.971
ASCC1,MSH6,9606.ENSP00000339404,9606.ENSP00000234420,0.574
ASCC1,PRKDC,9606.ENSP00000339404,9606.ENSP00000313420,0.546
ASPN,OLFM4,9606.ENSP00000364694,9606.ENSP00000219022,0.489
ASPN,TGFB1,9606.ENSP00000364694,9606.ENSP00000221930,0.917
ASPN,COMP,9606.ENSP00000364694,9606.ENSP00000222271,0.573
ASPN,COL1A1,9606.ENSP00000364694,9606.ENSP00000225964,0.719
ASPN,COL8A1,9606.ENSP00000364694,9606.ENSP00000261037,0.418
ASPN,LOXL1,9606.ENSP00000364694,9606.ENSP00000261921,0.401
ASPN,GFM1,9606.ENSP00000364694,9606.ENSP00000264263,0.403
ASPN,VCAN,9606.ENSP00000364694,9606.ENSP00000265077,0.648
ASPN,COL1A2,9606.ENSP00000364694,9606.ENSP00000297268,0.714
ASPN,COL12A1,9606.ENSP00000364694,9606.ENSP00000325146,0.468
ASPN,FBN1,9606.ENSP00000364694,9606.ENSP00000325527,0.68
ASPN,COL10A1,9606.ENSP00000364694,9606.ENSP00000327368,0.621
ASPN,COL6A1,9606.ENSP00000364694,9606.ENSP00000355180,0.571
ASPN,COL11A1,9606.ENSP00000364694,9606.ENSP00000359114,0.814
ASPN,COL5A1,9606.ENSP00000364694,9606.ENSP00000360882,0.588
ASPN,COL5A2,9606.ENSP00000364694,9606.ENSP00000364000,0.482
ASPN,ESR1,9606.ENSP00000364694,9606.ENSP00000405330,0.41
ASPN,ITGBL1,9606.ENSP00000364694,9606.ENSP00000365351,0.471
ASPN,COL8A2,9606.ENSP00000364694,9606.ENSP00000380901,0.516
ASPN,POSTN,9606.ENSP00000364694,9606.ENSP00000369071,0.83
ATAD2,CKS2,9606.ENSP00000287394,9606.ENSP00000364976,0.422
ATAD2,SOX10,9606.ENSP00000287394,9606.ENSP00000380093,0.442
ATAD2,TFAP2A,9606.ENSP00000287394,9606.ENSP00000501092,0.519
ATAD2,SMC4,9606.ENSP00000287394,9606.ENSP00000341382,0.766
ATAD2,TOP2A,9606.ENSP00000287394,9606.ENSP00000411532,0.837
ATAD2,ESR1,9606.ENSP00000287394,9606.ENSP00000405330,0.977
ATG5,TRIM4,9606.ENSP00000358072,9606.ENSP00000348216,0.518
ATG5,TAB2,9606.ENSP00000358072,9606.ENSP00000356426,0.442
ATG5,RAB1A,9606.ENSP00000358072,9606.ENSP00000387286,0.452
ATG5,VDAC1,9606.ENSP00000358072,9606.ENSP00000378487,0.764
ATP1A2,MAPK1,9606.ENSP00000354490,9606.ENSP00000215832,0.914
ATP1A2,ATP6V1A,9606.ENSP00000354490,9606.ENSP00000273398,0.542
ATP1A2,CALD1,9606.ENSP00000354490,9606.ENSP00000354826,0.434
ATP1A2,CHRDL1,9606.ENSP00000354490,9606.ENSP00000361112,0.504
ATP1A2,FXYD1,9606.ENSP00000354490,9606.ENSP00000481244,0.946
ATP6AP2,CANX,9606.ENSP00000490083,9606.ENSP00000247461,0.426
ATP6AP2,ATP6V1A,9606.ENSP00000490083,9606.ENSP00000273398,0.997
ATP6AP2,MME,9606.ENSP00000490083,9606.ENSP00000418525,0.409
ATP6AP2,ATP6V1C1,9606.ENSP00000490083,9606.ENSP00000430282,0.998
ATP6V1A,CANX,9606.ENSP00000273398,9606.ENSP00000247461,0.424
ATP6V1A,RAB1A,9606.ENSP00000273398,9606.ENSP00000387286,0.416
ATP6V1A,ENO1,9606.ENSP00000273398,9606.ENSP00000495530,0.419
ATP6V1A,LAMP1,9606.ENSP00000273398,9606.ENSP00000333298,0.502
ATP6V1A,TF,9606.ENSP00000273398,9606.ENSP00000385834,0.518
ATP6V1A,ATP6V1C1,9606.ENSP00000273398,9606.ENSP00000430282,0.999
ATP6V1C1,TF,9606.ENSP00000430282,9606.ENSP00000385834,0.52
ATP7B,ATP8B1,9606.ENSP00000242839,9606.ENSP00000497896,0.559
