col1,col2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,IGF1R
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,INSR
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,KDR
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,KIT
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,MET
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,NGFR
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,NTRK1
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,NTRK2
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,PDGFRA
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,PDGFRB
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,RET
fu:0ef7119158f6e7096af420c6896d2c0afde93ae9637687b67a86792ee12a0849,TEK
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG3
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG2
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG5
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG4
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA2D3
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG8
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG7
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG6
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1A
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1B
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1C
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1D
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1E
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1F
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1S
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA2D1
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNB1
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNB2
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNB3
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNB4
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNG1
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1I
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1H
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA1G
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA2D2
fu:23003cc3a6e4336f73efcdefa0ddbd755969f236009a787ba49c7c4de1489970,CACNA2D4
