col1,col2
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,DUSP3
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPN7
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPRR
fu:b9b8b3c8ae2282343f37ddb427dd86aa42d0f2e54c5c87245bf80c0cd61469f1,PTPN5
fu:30387a5244329a17de2105eaeef1ae8376e6d1c9940d3b89ca55dde11ab7cbd2,PPM1A
fu:93844188cb5d23fdb58e10f01ec3188139005677c1d65133d7c5ead1053f5466,AKT3
fu:93844188cb5d23fdb58e10f01ec3188139005677c1d65133d7c5ead1053f5466,AKT1
fu:93844188cb5d23fdb58e10f01ec3188139005677c1d65133d7c5ead1053f5466,AKT2
fu:1971bb21cb4f30fdbd158cb4151f34bf54151324d1c2494cd8d9292b4ab61b64,TAOK3
fu:1971bb21cb4f30fdbd158cb4151f34bf54151324d1c2494cd8d9292b4ab61b64,TAOK1
fu:1971bb21cb4f30fdbd158cb4151f34bf54151324d1c2494cd8d9292b4ab61b64,TAOK2
fu:3ab2780dd65cffc1aa792f93856cfad3af965e6949091c11ace0617c7e5f7966,MAP3K4
fu:dbecf5814b919a5477a1db710f8ce2a7fe9429da1b31b98cd420e1769a1521eb,HSPB1
fu:f4aecfe0c2d4c27d52cc48fbfb186b34d566db8d769df1f95051ba02b941ad08,MAP3K7
fu:e83f952748bfdcdfaf1303c14744414b7da3dc579cda08de13ccdb141b1ffcf8,MAP3K5
fu:707ad0cffc5b2d86d8aad1dad285c9cd5f0366686ed8faf34c59d320275d038f,MAP3K6
fu:d80c47e1dba166f4874b2637583715bc20305f047c34e535e86549a4d3d9c9e2,MAP3K20
fu:267e9b7495a2eaa9b52ce91d24ebed00d1e401eb04cbdd9644b0ff39c9ca66cd,MAP3K12
fu:267e9b7495a2eaa9b52ce91d24ebed00d1e401eb04cbdd9644b0ff39c9ca66cd,MAP3K13
fu:ef688c4ec36356da7eefa0c49bfa0a5e96ff990eed219ada6d9abc7a38458d75,MAP3K9
fu:ef688c4ec36356da7eefa0c49bfa0a5e96ff990eed219ada6d9abc7a38458d75,MAP3K10
fu:ef688c4ec36356da7eefa0c49bfa0a5e96ff990eed219ada6d9abc7a38458d75,MAP3K21
fu:e2934f5d4ef6f7d0c67f21211cd0340578845e045e204d4f12259c3d824f49e6,MAP4K2
fu:dc1f1e1be93989da184dd91a8eaba3e4dfa927f9f847f7f79837dae53b6ba5a8,STK3
fu:dc1f1e1be93989da184dd91a8eaba3e4dfa927f9f847f7f79837dae53b6ba5a8,STK4
fu:af957d1a488bdb5520aecc509790477724498447d1d7ad70725f6d528bb25c35,ECSIT
fu:8efc10cbfd99ec3e71e313995c667990c94ce221f78172e5ba1d3e140f494a08,TAB2
fu:7a26cd747a6505cddfeceb5cffc616cbeb57015d3e0c86da76aaef5e97b23075,TAB1
fu:8b4b37dde9297be3a7aa05f21387bc4e2f98f2066b2f0bd76029efdde2646e33,GADD45G
fu:8b4b37dde9297be3a7aa05f21387bc4e2f98f2066b2f0bd76029efdde2646e33,GADD45A
fu:8b4b37dde9297be3a7aa05f21387bc4e2f98f2066b2f0bd76029efdde2646e33,GADD45B
fu:ef64a04e6eb9bb891ecf997f6231b9cb6a7a60af1443e1ceb32247de499b1c7f,TRAF6
fu:99c792bf24bd8470d9d8f58b63485924b54aaac9ddcd6fc3b7996709a7aafbbd,DAXX
fu:e37d9f844fe93199980e75b6594566f373ded48f1a0695a3a6f9f9bbe3ea030e,TRAF2
fu:0703554ac1e7565530f6d3e1784ed58f16c1e94180e2141a707900bd368d48dc,CASP3
fu:630cce7c8d9901928b0c78cf448e6f77ee67e3be763c1b5bab16266ca7cfa1dc,CD14
fu:e5efccfa66ff88c22d8765f7dd1908a312dad6ab035a7b662081fb103b3b82a1,TGFBR1
fu:e5efccfa66ff88c22d8765f7dd1908a312dad6ab035a7b662081fb103b3b82a1,TGFBR2
fu:1c8896adfb60b496bbaf8a353bc1a6a30cd72e318c595d5031e7ff39f9f7123c,FAS
fu:7b6284f4c2b526ab2d7cb940b0113b982b45c605e7c3729c30b0b6aca5787220,IL1R1
fu:7b6284f4c2b526ab2d7cb940b0113b982b45c605e7c3729c30b0b6aca5787220,IL1RAP
fu:c88ab1d093b1f4ab935c82c129aefd75cc07462c254874e404dab00041d5c23d,TNFRSF1A
fu:0bce84db48c33c5b723bda96de34203742d95bae1976b69d1191cd1de5db70fd,TGFB1
fu:0bce84db48c33c5b723bda96de34203742d95bae1976b69d1191cd1de5db70fd,TGFB2
fu:0bce84db48c33c5b723bda96de34203742d95bae1976b69d1191cd1de5db70fd,TGFB3
fu:5e420f05941cb6081a43c727000f0b965ad45587569a1cae885a869c189597e1,IL1A
fu:5e420f05941cb6081a43c727000f0b965ad45587569a1cae885a869c189597e1,IL1B
fu:070787e0eee7c3367cfc05caf8a0b56fb6b7087da1bdb7ef856b82b003fb4ad3,TNF
fu:d78ed0db3508b2aa17dc827aa3f88aae379f26cffaf904f93b7b79cec45d6a62,MAPKAPK5
fu:7f70d17efa90142ca77a409f0c4e42ab5b836174a5abbfe3f603ec7f31636bac,RAC1
fu:7f70d17efa90142ca77a409f0c4e42ab5b836174a5abbfe3f603ec7f31636bac,RAC2
