mRNA,miR
RACGAP1,MIMAT0002819
NDST1,MIMAT0002819
DUT,MIMAT0002819
ODC1,MIMAT0002819
VAV2,MIMAT0002819
RAB5C,MIMAT0002819
YWHAZ,MIMAT0002819
IL17RD,MIMAT0002819
SF3B2,MIMAT0002819
ANAPC1,MIMAT0002819
MYLK,MIMAT0002819
VAV3,MIMAT0002819
DHX37,MIMAT0002819
ATOH8,MIMAT0002819
ZNF3,MIMAT0002819
MAPK1IP1L,MIMAT0002819
HNRNPUL1,MIMAT0002819
BAZ2A,MIMAT0002819
CHCHD10,MIMAT0002819
FANCD2,MIMAT0002819
TMBIM1,MIMAT0002819
ESR1,MIMAT0002819
RPL22,MIMAT0002819
BICD2,MIMAT0002819
BRCC3,MIMAT0002819
KIF21A,MIMAT0000461
SBNO1,MIMAT0000461
ACVR2A,MIMAT0000461
GPR27,MIMAT0000461
TCF3,MIMAT0000461
BCL2,MIMAT0000461
KANK1,MIMAT0000461
FGF2,MIMAT0000461
ZNF275,MIMAT0000461
TMEM135,MIMAT0000461
GOSR1,MIMAT0000461
GNB1,MIMAT0000461
PLEKHA1,MIMAT0000461
AVL9,MIMAT0000461
HNRNPA2B1,MIMAT0000461
MTHFR,MIMAT0000461
CHEK1,MIMAT0000461
TBL1XR1,MIMAT0000461
RASEF,MIMAT0000461
TAB3,MIMAT0000461
CPNE1,MIMAT0000461
LRRC57,MIMAT0000461
LSM11,MIMAT0000461
RAB3IP,MIMAT0000461
CBFA2T3,MIMAT0000461
DICER1,MIMAT0000461
SMURF1,MIMAT0000461
RASSF5,MIMAT0000461
GNAL,MIMAT0000461
BSG,MIMAT0000461
UBE2V1,MIMAT0000461
CCDC80,MIMAT0000461
CYLD,MIMAT0000461
ZBTB34,MIMAT0000461
SEC61A1,MIMAT0000461
HEYL,MIMAT0000461
TSC22D2,MIMAT0000461
CPEB3,MIMAT0000461
WIPI2,MIMAT0000461
SERBP1,MIMAT0000461
AKAP11,MIMAT0000461
CDC37L1,MIMAT0000461
STX17,MIMAT0000461
RFK,MIMAT0000461
PDE4D,MIMAT0000461
BAG4,MIMAT0000461
BZW1,MIMAT0000461
CCNE1,MIMAT0000461
CCNT1,MIMAT0000461
CCNT2,MIMAT0000461
TPI1,MIMAT0000461
SHOC2,MIMAT0000461
DNAJC10,MIMAT0000461
ABCB7,MIMAT0000461
CDV3,MIMAT0000461
ETNK1,MIMAT0000461
C21orf62,MIMAT0000461
MIB1,MIMAT0000461
TAOK1,MIMAT0000461
RPRD1B,MIMAT0000461
PPP1R11,MIMAT0000461
HAUS3,MIMAT0000461
DCAF17,MIMAT0000461
GABARAPL1,MIMAT0000461
LUZP1,MIMAT0000461
SMAD3,MIMAT0000461
TKTL1,MIMAT0000461
VEGFA,MIMAT0000461
MECP2,MIMAT0000461
THRAP3,MIMAT0000461
CD180,MIMAT0000461
ACTR2,MIMAT0000461
ARIH1,MIMAT0000461
PURA,MIMAT0000461
MLLT6,MIMAT0000461
PSKH1,MIMAT0000461
YWHAQ,MIMAT0000461
VPS4A,MIMAT0000461
RACGAP1,MIMAT0000461
VCL,MIMAT0000461
SOCS5,MIMAT0000461
OCRL,MIMAT0000461
KPNA1,MIMAT0000461
PAFAH1B2,MIMAT0000461
CCL4,MIMAT0000461
SNCG,MIMAT0000461
CREG1,MIMAT0000461
ARHGDIA,MIMAT0000461
MAP4K2,MIMAT0000461
RAPH1,MIMAT0000461
MAFK,MIMAT0000461
ENTPD6,MIMAT0000461
APP,MIMAT0000461
SH3BGRL2,MIMAT0000461
KATNAL1,MIMAT0000461
GNAT1,MIMAT0000461
ZNF585B,MIMAT0000461
YTHDC1,MIMAT0000461
ZNF284,MIMAT0000461
TSPAN3,MIMAT0000232
FGF2,MIMAT0000232
LIN54,MIMAT0000232
CCDC80,MIMAT0000232
CCNL1,MIMAT0000232
FOXA2,MIMAT0000232
TFAM,MIMAT0000232
MET,MIMAT0000232
MAPK9,MIMAT0000232
SOD2,MIMAT0000232
HGF,MIMAT0000232
PAK4,MIMAT0000232
TSPAN3,MIMAT0004563
FGF2,MIMAT0004563
LIN54,MIMAT0004563
CCDC80,MIMAT0004563
CCNL1,MIMAT0004563
MET,MIMAT0004563
SOD2,MIMAT0004563
PAK4,MIMAT0004563
ADAT2,MIMAT0000265
ANKFY1,MIMAT0000265
CHCHD3,MIMAT0000265
CD44,MIMAT0000265
MTA3,MIMAT0000265
TLK2,MIMAT0000265
HOXA10,MIMAT0000265
ZBTB20,MIMAT0000265
CTSC,MIMAT0000265
CLNK,MIMAT0000265
NR3C1,MIMAT0000265
ENAH,MIMAT0000265
LRRC55,MIMAT0000265
CDH11,MIMAT0000265
TCF4,MIMAT0000265
SRGAP1,MIMAT0000265
POU2F1,MIMAT0000265
TRPM3,MIMAT0000265
SYT6,MIMAT0000265
ATP2B1,MIMAT0000265
CAMK2G,MIMAT0000265
PRKAR1A,MIMAT0000265
RUNX2,MIMAT0000265
NTRK2,MIMAT0000265
WNK3,MIMAT0000265
CDH8,MIMAT0000265
POU2F2,MIMAT0000265
AGAP1,MIMAT0000265
IKZF2,MIMAT0000265
ZNF385D,MIMAT0000265
ZNF362,MIMAT0000265
PHF13,MIMAT0000265
ALDH1A2,MIMAT0000265
ST3GAL1,MIMAT0000265
B4GALNT3,MIMAT0000265
OPN5,MIMAT0000265
ZSCAN22,MIMAT0000265
BCL9L,MIMAT0000265
GALNT10,MIMAT0000265
SFT2D2,MIMAT0000265
CREB1,MIMAT0000265
MBNL1,MIMAT0000265
SEMA4G,MIMAT0000265
PTPRT,MIMAT0000265
CCR5,MIMAT0000265
MAPRE2,MIMAT0000265
SERP1,MIMAT0000265
USP47,MIMAT0000265
ZWILCH,MIMAT0000265
PRLR,MIMAT0000265
ZNF48,MIMAT0000265
CCNT2,MIMAT0000265
AKAP1,MIMAT0000265
SPIB,MIMAT0000265
CDX2,MIMAT0000265
IL11,MIMAT0000265
AKAP13,MIMAT0000265
DPF3,MIMAT0000265
ETF1,MIMAT0000265
AP1S1,MIMAT0000265
GTDC1,MIMAT0000265
FARP1,MIMAT0000265
SYNJ2BP,MIMAT0000265
VN1R1,MIMAT0000265
BCL7A,MIMAT0000265
BACH2,MIMAT0000265
MCL1,MIMAT0000265
LRRC4,MIMAT0000265
WWC2,MIMAT0000265
SOST,MIMAT0000265
BDNF,MIMAT0000265
C21orf62,MIMAT0000265
USP14,MIMAT0000265
SMAD4,MIMAT0000265
MDFI,MIMAT0000265
IPO7,MIMAT0000265
TXNIP,MIMAT0000265
ERF,MIMAT0000265
WDR3,MIMAT0000265
SERINC3,MIMAT0000265
TPPP,MIMAT0000265
PADI2,MIMAT0000265
ANGPTL2,MIMAT0000265
G3BP2,MIMAT0000265
ASGR1,MIMAT0000265
GLP1R,MIMAT0000265
SOX4,MIMAT0000265
SP1,MIMAT0000265
SPARC,MIMAT0000265
HMGA2,MIMAT0000265
STC2,MIMAT0000265
SGPL1,MIMAT0000265
EFNB2,MIMAT0000265
BMPR1A,MIMAT0000265
CDH1,MIMAT0000265
CPT1B,MIMAT0000265
ATF6B,MIMAT0000265
EFNB1,MIMAT0000265
MUC4,MIMAT0000265
SYNGR1,MIMAT0000265
CHCHD5,MIMAT0000265
SORCS2,MIMAT0000265
TGFBR1,MIMAT0000265
SLC39A11,MIMAT0000265
PLAG1,MIMAT0000265
ELOVL6,MIMAT0000265
CACNG8,MIMAT0000265
RAB11FIP4,MIMAT0000265
CDC42,MIMAT0000265
MYO18A,MIMAT0000265
TSC22D2,MIMAT0000265
IGFBP2,MIMAT0000265
CYBB,MIMAT0000265
IGFBP5,MIMAT0000265
PPP3R1,MIMAT0000265
PLCXD3,MIMAT0000265
SAMD5,MIMAT0000265
SMOC1,MIMAT0000265
MGAT4A,MIMAT0000076
ZNF292,MIMAT0000076
PBX1,MIMAT0000076
DDAH1,MIMAT0000076
LMBR1,MIMAT0000076
NT5C2,MIMAT0000076
PHF20L1,MIMAT0000076
RSF1,MIMAT0000076
SOX5,MIMAT0000076
LONRF2,MIMAT0000076
