Entrez ID,Gene Symbol,Oncogene Score,LogFC,p-value,Adj p-value,Pathway Matrix Organization,Pathway Degradation Matrix,Pathway Collagen Formation
29957,SLC25A24,0.0145898,0.939583,1.33376e-07,8.31847e-07,0,0,0
10484,SEC23A,0.00608882,0.658985,0.00972941,0.0184568,0,0,0
1307,COL16A1,0,0.0196357,0.932387,0.948597,1,1,1
11186,RASSF1,0.103543,-0.120677,0.44268,0.52188,0,0,0
205,AK4,0.0829883,-0.48352,0.0890999,0.132712,0,0,0
9443,MED7,0.0476323,-0.459877,0.00138095,0.0031765,0,0,0
6286,S100P,0.11135,3.82086,1.87102e-05,6.63984e-05,0,0,0
7188,TRAF5,0.0255428,1.38113,5.74223e-05,0.000182959,0,0,0
25913,POT1,0.504206,1.16898,4.88825e-05,0.000157836,0,0,0
22907,DHX30,0.00609807,0.675019,0.00561858,0.0112816,0,0,0
3984,LIMK1,0.095739,-0.186937,0.0676224,0.104249,0,0,0
23768,FLRT2,0.0376224,0.602204,0.00498996,0.0101281,0,0,0
4669,NAGLU,0.0276289,-0.235014,0.26404,0.340527,0,0,0
8935,SKAP2,0.0117574,0.688493,0.0365868,0.0603066,0,0,0
2152,F3,0.0236458,0.0246743,0.952306,0.963623,0,0,0
65055,REEP1,0.00223707,3.79196,9.67744e-08,6.30674e-07,0,0,0
2976,GTF3C2,0,1.12844,3.46681e-10,5.1567e-09,0,0,0
6668,SP2,0.0183841,0.123622,0.409472,0.48926,0,0,0
6578,SLCO2A1,0.0266899,0.489225,0.110001,0.15937,0,0,0
5290,PIK3CA,0.885178,2.94964,4.85033e-10,6.87654e-09,0,0,0
10978,CLP1,0.231357,1.16863,2.30689e-07,1.33785e-06,0,0,0
8570,KHSRP,0.0841894,-0.576699,7.07313e-07,3.60243e-06,0,0,0
9857,CEP350,0.0378562,1.13537,1.05298e-08,9.25994e-08,0,0,0
9746,CLSTN3,0.00295664,0.319681,0.177116,0.241128,0,0,0
8537,BCAS1,0.0174925,0.730627,0.08299,0.124631,0,0,0
2261,FGFR3,0.461127,3.77168,2.82618e-07,1.59351e-06,0,0,0
4037,LRP3,0,-1.16497,3.44152e-10,5.12443e-09,0,0,0
26151,NAT9,0,-0.511766,0.0118278,0.0220145,0,0,0
8220,DGCR14,0,-0.155779,0.416353,0.496148,0,0,0
2801,GOLGA2,0.0140184,1.40967,3.76135e-06,1.57638e-05,0,0,0
8942,KYNU,0.0323457,-0.816717,0.0104186,0.0196202,0,0,0
78988,MRPL57,0,0.106444,0.393581,0.474017,0,0,0
4128,MAOA,0.0859772,-3.299,1.02676e-05,3.87282e-05,0,0,0
8536,CAMK1,0.00552317,-1.16558,0.000990649,0.00236138,0,0,0
8501,SLC43A1,0.0100403,-0.139515,0.689289,0.747821,0,0,0
2869,GRK5,0.0469596,-0.0294097,0.792195,0.835559,0,0,0
24139,EML2,0,0.976935,0.000150062,0.000434332,0,0,0
10278,EFS,0.0102603,-0.772515,0.0787915,0.119168,0,0,0
3783,KCNN4,0.410677,-3.45715,2.47126e-10,3.88119e-09,0,0,0
25807,RHBDD3,0,-0.519988,0.0328512,0.0548025,0,0,0
9747,FAM115A,0,-0.380915,0.000521687,0.00132306,0,0,0
6558,SLC12A2,0.399007,1.73915,0.0115644,0.0215836,0,0,0
27292,DIMT1,0,-0.0707894,0.475718,0.554031,0,0,0
8458,TTF2,0.0018479,1.00096,0.000167358,0.000478165,0,0,0
27301,APEX2,0.0160229,0.546926,0.00159579,0.00362031,0,0,0
23046,KIF21B,0.00297796,-0.098334,0.335448,0.41562,0,0,0
4744,NEFH,0.0146021,0.466755,0.161599,0.222885,0,0,0
7186,TRAF2,0.180357,-0.0259004,0.801503,0.8435,0,0,0
2537,IFI6,0.0974672,2.31013,3.44377e-05,0.000115169,0,0,0
341,APOC1,0.0665931,-0.0406598,0.91065,0.931537,0,0,0
2581,GALC,0.00660111,1.91655,1.33826e-12,5.17121e-11,0,0,0
2946,GSTM2,0.0255302,-1.05682,0.0342123,0.0568075,0,0,0
8061,FOSL1,0.138997,-0.15135,0.171076,0.233958,0,0,0
2247,FGF2,0.114068,-2.34124,2.91381e-19,1.88338e-16,1,0,0
55885,LMO3,0.00411498,-1.21672,0.0255763,0.0437975,0,0,0
