#node1,node2,node1_string_id,node2_string_id,combined_score
ADCY7,GNAI1,9606.ENSP00000501053,9606.ENSP00000497260,0.824
ADCY7,AKT3,9606.ENSP00000501053,9606.ENSP00000500582,0.688
ADCY8,AKT2,9606.ENSP00000286355,9606.ENSP00000375892,0.671
ADCY8,ADCY9,9606.ENSP00000286355,9606.ENSP00000294016,0.675
ADCY8,CREB1,9606.ENSP00000286355,9606.ENSP00000387699,0.706
ADCY8,AKT3,9606.ENSP00000286355,9606.ENSP00000500582,0.72
ADCY8,AKT1,9606.ENSP00000286355,9606.ENSP00000451828,0.723
ADCY8,GNAI2,9606.ENSP00000286355,9606.ENSP00000312999,0.772
ADCY8,GNAI1,9606.ENSP00000286355,9606.ENSP00000497260,0.791
ADCY8,GNAI3,9606.ENSP00000286355,9606.ENSP00000358867,0.877
ADCY8,PRKCD,9606.ENSP00000286355,9606.ENSP00000331602,0.906
ADCY8,GNAS,9606.ENSP00000286355,9606.ENSP00000360141,0.949
ADCY8,PRKACB,9606.ENSP00000286355,9606.ENSP00000359719,0.955
ADCY8,PRKACA,9606.ENSP00000286355,9606.ENSP00000309591,0.971
ADCY8,PRKACG,9606.ENSP00000286355,9606.ENSP00000366488,0.982
ADCY8,CALML6,9606.ENSP00000286355,9606.ENSP00000304643,0.992
ADCY8,CALML3,9606.ENSP00000286355,9606.ENSP00000315299,0.993
ADCY8,CALML5,9606.ENSP00000286355,9606.ENSP00000369689,0.993
ADCY8,CALML4,9606.ENSP00000286355,9606.ENSP00000419081,0.993
ADCY8,CALM3,9606.ENSP00000286355,9606.ENSP00000291295,0.995
ADCY9,MAPK1,9606.ENSP00000294016,9606.ENSP00000215832,0.471
ADCY9,CALM3,9606.ENSP00000294016,9606.ENSP00000291295,0.788
ADCY9,AKT2,9606.ENSP00000294016,9606.ENSP00000375892,0.682
ADCY9,AKT3,9606.ENSP00000294016,9606.ENSP00000500582,0.684
ADCY9,AKT1,9606.ENSP00000294016,9606.ENSP00000451828,0.706
ADCY9,GNAI1,9606.ENSP00000294016,9606.ENSP00000497260,0.744
ADCY9,GNAI3,9606.ENSP00000294016,9606.ENSP00000358867,0.751
ADCY9,CALML6,9606.ENSP00000294016,9606.ENSP00000304643,0.776
ADCY9,CALML4,9606.ENSP00000294016,9606.ENSP00000419081,0.776
ADCY9,CALML5,9606.ENSP00000294016,9606.ENSP00000369689,0.785
ADCY9,CALML3,9606.ENSP00000294016,9606.ENSP00000315299,0.785
ADCY9,GNAI2,9606.ENSP00000294016,9606.ENSP00000312999,0.875
ADCY9,PRKCD,9606.ENSP00000294016,9606.ENSP00000331602,0.912
ADCY9,PRKACG,9606.ENSP00000294016,9606.ENSP00000366488,0.95
ADCY9,PRKACA,9606.ENSP00000294016,9606.ENSP00000309591,0.95
ADCY9,PRKACB,9606.ENSP00000294016,9606.ENSP00000359719,0.952
ADCY9,GNAS,9606.ENSP00000294016,9606.ENSP00000360141,0.986
AKT1,FKBP4,9606.ENSP00000451828,9606.ENSP00000001008,0.914
AKT1,CREB3L3,9606.ENSP00000451828,9606.ENSP00000078445,0.72
AKT1,KRT14,9606.ENSP00000451828,9606.ENSP00000167586,0.441
AKT1,MAPK1,9606.ENSP00000451828,9606.ENSP00000215832,0.988
AKT1,SOS2,9606.ENSP00000451828,9606.ENSP00000216373,0.601
AKT1,PIK3R2,9606.ENSP00000451828,9606.ENSP00000222254,0.971
AKT1,CTSD,9606.ENSP00000451828,9606.ENSP00000236671,0.482
AKT1,RARA,9606.ENSP00000451828,9606.ENSP00000254066,0.765
AKT1,KRAS,9606.ENSP00000451828,9606.ENSP00000256078,0.904
