Node ID,Node Description,Node Type
Diplopia,Diplopia,symptom
Hemianopsia,Hemianopsia,symptom
Photophobia,Photophobia,symptom
Scotoma,Scotoma,symptom
Vision__Low,"Vision, Low",symptom
Sleep_Disorders,Sleep Disorders,symptom
Sleep_Deprivation,Sleep Deprivation,symptom
Urinary_Bladder__Neurogenic,"Urinary Bladder, Neurogenic",symptom
Vertigo,Vertigo,symptom
Voice_Disorders,Voice Disorders,symptom
Aphonia,Aphonia,symptom
Dysphonia,Dysphonia,symptom
Hoarseness,Hoarseness,symptom
Oral_Manifestations,Oral Manifestations,symptom
Oral_Hemorrhage,Oral Hemorrhage,symptom
Abdominal_Pain,Abdominal Pain,symptom
Abdomen__Acute,"Abdomen, Acute",symptom
Colic,Colic,symptom
Arthralgia,Arthralgia,symptom
Shoulder_Pain,Shoulder Pain,symptom
Chest_Pain,Chest Pain,symptom
Angina_Pectoris,Angina Pectoris,symptom
Acute_Coronary_Syndrome,Acute Coronary Syndrome,symptom
Angina__Unstable,"Angina, Unstable",symptom
Angina_Pectoris__Variant,"Angina Pectoris, Variant",symptom
Earache,Earache,symptom
Toothache,Toothache,symptom
Flank_Pain,Flank Pain,symptom
Glossalgia,Glossalgia,symptom
Pain__Postoperative,"Pain, Postoperative",symptom
Pelvic_Pain,Pelvic Pain,symptom
Dysmenorrhea,Dysmenorrhea,symptom
Reticulocytosis,Reticulocytosis,symptom
Aerophagy,Aerophagy,symptom
Anorexia,Anorexia,symptom
Constipation,Constipation,symptom
Diarrhea,Diarrhea,symptom
Diarrhea__Infantile,"Diarrhea, Infantile",symptom
Dyspepsia,Dyspepsia,symptom
Eructation,Eructation,symptom
Flatulence,Flatulence,symptom
Gagging,Gagging,symptom
Halitosis,Halitosis,symptom
Heartburn,Heartburn,symptom
Hiccup,Hiccup,symptom
Hyperphagia,Hyperphagia,symptom
Bulimia,Bulimia,symptom
Nausea,Nausea,symptom
Postoperative_Nausea_and_Vomiting,Postoperative Nausea and Vomiting,symptom
Vomiting,Vomiting,symptom
Hematemesis,Hematemesis,symptom
Hyperemesis_Gravidarum,Hyperemesis Gravidarum,symptom
Vomiting__Anticipatory,"Vomiting, Anticipatory",symptom
Anoxia,Anoxia,symptom
Apnea,Apnea,symptom
Cough,Cough,symptom
Dyspnea,Dyspnea,symptom
Dyspnea__Paroxysmal,"Dyspnea, Paroxysmal",symptom
Hemoptysis,Hemoptysis,symptom
Hypercapnia,Hypercapnia,symptom
Hyperoxia,Hyperoxia,symptom
Hyperventilation,Hyperventilation,symptom
Hypocapnia,Hypocapnia,symptom
Hypoventilation,Hypoventilation,symptom
Mouth_Breathing,Mouth Breathing,symptom
Respiratory_Aspiration,Respiratory Aspiration,symptom
Respiratory_Sounds,Respiratory Sounds,symptom
Snoring,Snoring,symptom
Skin_Manifestations,Skin Manifestations,symptom
Cafe-au-Lait_Spots,Cafe-au-Lait Spots,symptom
Ecchymosis,Ecchymosis,symptom
Jaundice,Jaundice,symptom
Jaundice__Obstructive,"Jaundice, Obstructive",symptom
Livedo_Reticularis,Livedo Reticularis,symptom
Necrolytic_Migratory_Erythema,Necrolytic Migratory Erythema,symptom
Pallor,Pallor,symptom
Pruritus,Pruritus,symptom
Purpura,Purpura,symptom
Purpura_Fulminans,Purpura Fulminans,symptom
Purpura__Hyperglobulinemic,"Purpura, Hyperglobulinemic",symptom
Purpura__Schoenlein-Henoch,"Purpura, Schoenlein-Henoch",symptom
Purpura__Thrombocytopenic,"Purpura, Thrombocytopenic",symptom
Purpura__Thrombocytopenic__Idiopathic,"Purpura, Thrombocytopenic, Idiopathic",symptom
Purpura__Thrombotic_Thrombocytopenic,"Purpura, Thrombotic Thrombocytopenic",symptom
