Gene.ID,Gene.symbol,logFC
27161,EIF2C2,0.182276
26018,LRIG1,0.265167
57504,MTA3,0.368448
7258,TSPY1,0.844304
800,CALD1,0.763408
8399,PLA2G10,0.215918
9828,ARHGEF17,0.243392
9265,PSCD3,0.261708
7494,XBP1,0.198946
9444,QKI,0.336457
11151,CORO1A,0.267048
5089,PBX2,0.197792
23261,CAMTA1,0.195813
51107,APH1A,0.201103
9971,NR1H4,0.800944
3600,IL15,0.366822
30011,SH3KBP1,0.208961
63935,PCIF1,0.257806
6711,SPTBN1,0.526969
824,CAPN2,0.257443
4735,SEPT2,0.263655
54014,BRWD1,0.186878
29122,TSP50,0.231238
8445,DYRK2,0.188897
100131829,LOC100131829,0.39812
57326,PBXIP1,0.189561
3603,IL16,0.200254
284613,CYB561D1,0.232843
8295,TRRAP,0.21246
22800,RRAS2,0.417201
55715,DOK4,0.32212
10446,LRRN2,0.411257
10747,MASP2,0.501157
3123,HLA-DRB1,0.29988
10750,GRAP,0.219739
9961,MVP,0.242977
8634,RTCD1,0.337239
23133,PHF8,0.292646
84059,GPR98,0.375789
4881,NPR1,0.437533
85451,UNK,0.195555
116448,OLIG1,0.428592
54799,MBTD1,0.476227
51585,PCF11,0.255569
27065,D4S234E,0.416422
196883,ADCY4,0.304609
29906,ST8SIA5,0.807404
3665,IRF7,0.278464
3113,HLA-DPA1,0.25235
26578,OSTF1,0.18227
11238,CA5B,0.559946
22884,WDR37,0.211071
976,CD97,0.315223
100131138,LOC100131138,0.332998
138046,RALYL,0.7098
30848,CTAG2,0.731349
401548,SNX30,0.269661
4082,MARCKS,0.506821
728142,LOC728142,0.182952
10325,RRAGB,0.462603
54621,FLJ20674,0.415896
3784,KCNQ1,0.466902
55088,C10orf118,0.231644
25791,NGEF,0.237965
222521,C6orf224,0.310358
151162,LOC151162,0.216566
3990,LIPC,0.488407
9647,PPM1F,0.187389
23157,SEPT6,0.185281
1759,DNM1,0.274505
440498,LOC440498,0.261199
11164,NUDT5,0.292902
55186,SLC25A36,0.238455
6635,SNRPE,0.257654
57502,NLGN4X,0.660919
11262,SP140,0.278471
864,RUNX3,0.186492
2528,FUT6,0.279084
89781,HPS4,0.24744
56548,CHST7,0.22654
57124,CD248,0.265122
6871,TADA2L,0.184036
1124,CHN2,0.522455
3184,HNRNPD,0.271199
11083,DIDO1,0.196804
4938,OAS1,0.278598
7730,ZNF177,0.290677
51554,CCRL1,0.247776
4088,SMAD3,0.236565
85027,MST150,0.211392
205717,KIAA2018,0.186982
814,CAMK4,0.41971
84146,ZNF644,0.186103
9516,LITAF,0.203792
157285,PRAGMIN,0.268535
1756,DMD,0.547707
26083,TBC1D29,0.488078
445347,TARP,0.391908
57826,RAP2C,0.215077
221718,C6orf218,0.730096
220074,LRRC51,0.361963
9931,HELZ,0.187071
5362,PLXNA2,0.295083
10160,FARP1,0.468585
28999,KLF15,0.55416
11123,RCAN3,0.401824
55425,KIAA1704,0.20748
149194,LOC149194,0.245582
64421,DCLRE1C,0.201481
345557,PLCXD3,0.645786
79899,FLJ14213,0.245951
8710,SERPINB7,0.80985
490,ATP2B1,0.240481
55160,ARHGEF10L,0.363902
27094,KCNMB3,0.474391
159963,SLC5A12,0.208565
9960,USP3,0.19286
1606,DGKA,0.215597
2683,B4GALT1,0.183554
23378,KIAA0409,0.208145
729220,FLJ45513,0.318721
22877,MLXIP,0.209571
6002,RGS12,0.677052
441733,PRKXP1,0.27426
57507,ZNF608,0.609296
5152,PDE9A,0.480076
7169,TPM2,0.260878
582,BBS1,0.333176
79656,C1orf165,0.219959
55340,GIMAP5,0.560132
