MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Muscle Weakness	3	6,18965775316061
Asthenia	Muscular Dystrophies	3	6,18965775316061
Asthenia	Muscular Dystrophy, Oculopharyngeal	1	2,06321925105354
Asthenia	Myositis	1	2,06321925105354
Asthenia	Dermatomyositis	1	2,06321925105354
Asthenia	Myotonia Congenita	1	2,06321925105354
Asthenia	Polymyalgia Rheumatica	1	2,06321925105354
Asthenia	Myoglobinuria	1	2,06321925105354
Asthenia	Rheumatic Diseases	1	2,06321925105354
Asthenia	Biliary Tract Diseases	1	2,06321925105354
Asthenia	Biliary Dyskinesia	1	2,06321925105354
Asthenia	Cholelithiasis	1	2,06321925105354
Asthenia	Gallstones	1	2,06321925105354
Asthenia	Cholecystitis	1	2,06321925105354
Asthenia	Gastrointestinal Diseases	3	6,18965775316061
Asthenia	Deglutition Disorders	1	2,06321925105354
Asthenia	CREST Syndrome	1	2,06321925105354
Asthenia	Gastroesophageal Reflux	1	2,06321925105354
Asthenia	Esophagitis	1	2,06321925105354
Asthenia	Colitis, Ulcerative	1	2,06321925105354
Asthenia	Gastritis	1	2,06321925105354
Asthenia	Crohn Disease	3	6,18965775316061
Asthenia	Intestinal Diseases	1	2,06321925105354
Asthenia	Cecal Diseases	1	2,06321925105354
Asthenia	Irritable Bowel Syndrome	1	2,06321925105354
Asthenia	Superior Mesenteric Artery Syndrome	1	2,06321925105354
Asthenia	Peptic Ulcer	2	4,12643850210707
Asthenia	Duodenal Ulcer	3	6,18965775316061
Asthenia	Intussusception	1	2,06321925105354
Asthenia	Malabsorption Syndromes	3	6,18965775316061
Asthenia	Stomach Diseases	2	4,12643850210707
Asthenia	Postgastrectomy Syndromes	3	6,18965775316061
Asthenia	Dumping Syndrome	1	2,06321925105354
Asthenia	Liver Diseases	10	20,6321925105354
Asthenia	Drug-Induced Liver Injury	4	8,25287700421415
Asthenia	Fatty Liver	2	4,12643850210707
Asthenia	Hepatitis	5	10,3160962552677
Asthenia	Hypertension, Portal	1	2,06321925105354
Asthenia	Liver Cirrhosis	3	6,18965775316061
Asthenia	Cystic Fibrosis	1	2,06321925105354
Asthenia	Exocrine Pancreatic Insufficiency	1	2,06321925105354
Asthenia	Asthma	2	4,12643850210707
Asthenia	Voice Disorders	1	2,06321925105354
Asthenia	Lung Diseases	1	2,06321925105354
Asthenia	Sarcoidosis, Pulmonary	1	2,06321925105354
Asthenia	Wegener Granulomatosis	1	2,06321925105354
Asthenia	Pulmonary Disease, Chronic Obstructive	1	2,06321925105354
Asthenia	Pneumonia	2	4,12643850210707
Asthenia	Paranasal Sinus Diseases	1	2,06321925105354
Asthenia	Sinusitis	1	2,06321925105354
Asthenia	Rhinitis, Allergic, Seasonal	2	4,12643850210707
Asthenia	Chylothorax	1	2,06321925105354
Asthenia	Pleurisy	1	2,06321925105354
Asthenia	Sleep Apnea Syndromes	1	2,06321925105354
Asthenia	Cough	1	2,06321925105354
Asthenia	Dyspnea	4	8,25287700421415
Asthenia	Hyperventilation	1	2,06321925105354
Asthenia	Respiratory Insufficiency	2	4,12643850210707
Asthenia	Vertigo	4	8,25287700421415
Asthenia	Multiple Sclerosis	4	8,25287700421415
Asthenia	Multiple Sclerosis, Relapsing-Remitting	1	2,06321925105354
Asthenia	Myasthenia Gravis	4	8,25287700421415
Asthenia	Dysautonomia, Familial	3	6,18965775316061
Asthenia	Giant Cell Arteritis	3	6,18965775316061
Asthenia	Autonomic Nervous System Diseases	9	18,5689732594818
Asthenia	Hypotension, Orthostatic	1	2,06321925105354
Asthenia	Central Nervous System Diseases	4	8,25287700421415
Asthenia	Brain Diseases	11	22,6954117615889
Asthenia	Basal Ganglia Diseases	1	2,06321925105354
Asthenia	Parkinson Disease	2	4,12643850210707
Asthenia	Parkinson Disease, Postencephalitic	1	2,06321925105354
Asthenia	Brain Damage, Chronic	1	2,06321925105354
Asthenia	Cerebral Palsy	2	4,12643850210707
Asthenia	Adrenoleukodystrophy	1	2,06321925105354
Asthenia	Gaucher Disease	1	2,06321925105354
Asthenia	Brain Injuries	16	33,0115080168566
Asthenia	Brain Concussion	5	10,3160962552677
Asthenia	Cerebellar Ataxia	1	2,06321925105354
Asthenia	Ataxia Telangiectasia	2	4,12643850210707
Asthenia	Cerebrovascular Disorders	3	6,18965775316061
Asthenia	Brain Ischemia	2	4,12643850210707
Asthenia	Cerebral Infarction	1	2,06321925105354
Asthenia	Ischemic Attack, Transient	1	2,06321925105354
Asthenia	Vertebrobasilar Insufficiency	1	2,06321925105354
Asthenia	Carotid Artery Diseases	1	2,06321925105354
Asthenia	Intracranial Arteriosclerosis	10	20,6321925105354
Asthenia	Cerebral Hemorrhage	1	2,06321925105354
Asthenia	Subarachnoid Hemorrhage	3	6,18965775316061
Asthenia	Stroke	1	2,06321925105354
Asthenia	Dementia	11	22,6954117615889
Asthenia	Alzheimer Disease	1	2,06321925105354
Asthenia	Epilepsy	10	20,6321925105354
Asthenia	Epilepsies, Partial	2	4,12643850210707
Asthenia	Epilepsy, Generalized	2	4,12643850210707
Asthenia	Epilepsy, Absence	1	2,06321925105354
Asthenia	Migraine Disorders	2	4,12643850210707
Asthenia	Hydrocephalus	2	4,12643850210707
Asthenia	Empty Sella Syndrome	1	2,06321925105354
Asthenia	Hypopituitarism	5	10,3160962552677
Asthenia	Thalamic Diseases	1	2,06321925105354
Asthenia	Arachnoiditis	1	2,06321925105354
Asthenia	Movement Disorders	2	4,12643850210707
Asthenia	Akathisia, Drug-Induced	1	2,06321925105354
Asthenia	Spinal Cord Diseases	2	4,12643850210707
Asthenia	Amyotrophic Lateral Sclerosis	2	4,12643850210707
Asthenia	Spinal Cord Compression	1	2,06321925105354
Asthenia	Syringomyelia	1	2,06321925105354
Asthenia	Cranial Nerve Diseases	1	2,06321925105354
Asthenia	Strabismus	1	2,06321925105354
Asthenia	Trigeminal Neuralgia	1	2,06321925105354
Asthenia	Demyelinating Diseases	1	2,06321925105354
Asthenia	Spastic Paraplegia, Hereditary	1	2,06321925105354
Asthenia	Neural Tube Defects	1	2,06321925105354
Asthenia	Spinal Dysraphism	1	2,06321925105354
Asthenia	Amyloid Neuropathies, Familial	1	2,06321925105354
Asthenia	Ataxia	1	2,06321925105354
Asthenia	Hypokinesia	1	2,06321925105354
Asthenia	Myoclonus	1	2,06321925105354
Asthenia	Catatonia	1	2,06321925105354
Asthenia	Aphasia	1	2,06321925105354
Asthenia	Stuttering	1	2,06321925105354
Asthenia	Delirium	2	4,12643850210707
Asthenia	Consciousness Disorders	1	2,06321925105354
Asthenia	Unconsciousness	1	2,06321925105354
Asthenia	Syncope	3	6,18965775316061
Asthenia	Memory Disorders	3	6,18965775316061
Asthenia	Amnesia	2	4,12643850210707
Asthenia	Mental Retardation	5	10,3160962552677
Asthenia	Down Syndrome	1	2,06321925105354
Asthenia	Perceptual Disorders	1	2,06321925105354
Asthenia	Hallucinations	1	2,06321925105354
Asthenia	Psychomotor Disorders	1	2,06321925105354
Asthenia	Apraxias	1	2,06321925105354
Asthenia	Muscular Atrophy	3	6,18965775316061
Asthenia	Spasm	1	2,06321925105354
Asthenia	Tetany	3	6,18965775316061
Asthenia	Pain	7	14,4425347573748
Asthenia	Back Pain	1	2,06321925105354
Asthenia	Headache	4	8,25287700421415
Asthenia	Neck Pain	1	2,06321925105354
Asthenia	Neuralgia	2	4,12643850210707
Asthenia	Pain, Intractable	1	2,06321925105354
Asthenia	Paralysis	2	4,12643850210707
Asthenia	Reflex, Abnormal	1	2,06321925105354
Asthenia	Dizziness	5	10,3160962552677
Asthenia	Hypesthesia	1	2,06321925105354
Asthenia	Paresthesia	2	4,12643850210707
Asthenia	Vision Disorders	1	2,06321925105354
Asthenia	Blindness	1	2,06321925105354
Asthenia	Diplopia	1	2,06321925105354
Asthenia	Neuromuscular Diseases	3	6,18965775316061
Asthenia	Peripheral Nervous System Diseases	4	8,25287700421415
