Source1,Source2,Shared_Targets_Count
WIPF2,GPRIN3,1
WIPF2,MTMR3,1
WIPF2,CADM2,1
WIPF2,ZDHHC20,1
WIPF2,RAB3IP,1
WIPF2,CYB561D1,1
WIPF2,PRNP,1
WIPF2,ABHD15,1
WIPF2,QRFPR,1
WIPF2,CCDC137,1
WIPF2,DSTYK,1
WIPF2,RTN3,1
WIPF2,ZBTB37,1
WIPF2,A1CF,1
WIPF2,FHDC1,1
WIPF2,MAP3K2,1
WIPF2,RBM12B,1
WIPF2,XIAP,1
WIPF2,HIP1,1
WIPF2,SLC7A11,1
WIPF2,TMOD3,1
WIPF2,PLEKHM1,1
WIPF2,ZNF652,1
WIPF2,ZFYVE26,1
WIPF2,TTC9,1
WIPF2,MTMR9,1
WIPF2,WSB1,1
WIPF2,RLIM,1
WIPF2,IRAK4,1
WIPF2,ARID4B,1
WIPF2,KLF3,1
WIPF2,TLR7,1
WIPF2,OCIAD1,1
WIPF2,FKBP14,1
WIPF2,RAB42,1
WIPF2,C18orf32,1
WIPF2,BCL2L2,1
WIPF2,CDKN1A,1
WIPF2,PRKACB,1
WIPF2,SPIB,1
WIPF2,RAB5B,1
WIPF2,RND3,1
WIPF2,ARHGAP12,1
WIPF2,GTF2H3,1
WIPF2,YOD1,1
WIPF2,HIPK3,1
WIPF2,POLM,1
WIPF2,PKNOX1,1
WIPF2,ZNF385A,1
WIPF2,ENPP5,1
WIPF2,NRIP3,1
WIPF2,NUFIP2,1
WIPF2,WNK3,1
WIPF2,ZNFX1,1
WIPF2,LY6G5B,1
WIPF2,CFL2,1
WIPF2,SERF1A,1
WIPF2,EGLN3,1
WIPF2,ABCG8,1
WIPF2,ZMAT3,1
WIPF2,GPR157,1
WIPF2,SLC35F5,1
WIPF2,TNKS2,1
WIPF2,ZNF805,1
WIPF2,KCNB1,1
WIPF2,MECP2,1
WIPF2,CCDC6,1
WIPF2,MTF1,1
WIPF2,DYRK2,1
WIPF2,NUDT3,1
WIPF2,MAPRE3,1
WIPF2,SF3B3,1
WIPF2,OSTM1,1
WIPF2,SPCS1,1
WIPF2,EIF2B2,1
WIPF2,DLST,1
WIPF2,MYH9,1
WIPF2,NPAT,1
WIPF2,RORA,1
WIPF2,SP2,1
WIPF2,TXK,1
WIPF2,BNIP2,1
WIPF2,DUSP2,1
WIPF2,QKI,1
WIPF2,MFN1,1
WIPF2,TRAPPC2,1
WIPF2,ZNF578,1
WIPF2,VPS53,1
WIPF2,ATXN1,1
WIPF2,TP53INP1,1
WIPF2,MFSD2A,1
WIPF2,LLPH,1
WIPF2,DCTN5,1
WIPF2,PPP1R15B,1
WIPF2,PURB,1
WIPF2,DCBLD2,1
WIPF2,MAPKAPK5,1
WIPF2,STAT3,1
WIPF2,CXorf38,1
WIPF2,SGMS1,1
WIPF2,SON,1
WIPF2,RRN3,1
WIPF2,HMGB3,1
WIPF2,ZYG11A,1
WIPF2,HMGB1,1
WIPF2,RUNX3,1
WIPF2,SOD2,1
WIPF2,SNAP47,1
WIPF2,CYP19A1,1
WIPF2,NR3C1,1
WIPF2,TGFB1,1
WIPF2,KATNAL1,1
WIPF2,TNRC6B,1
WIPF2,COX19,1
MAPK9,CNKSR3,1
MAPK9,APP,1
MAPK9,EIF3M,1
MAPK9,DNAJC10,1
MAPK9,ZNF7,1
MAPK9,WDR53,1
MAPK9,KIF6,1
MAPK9,CUL4A,1
MAPK9,MFSD8,1
MAPK9,RGMB,1
MAPK9,PRKAR1A,1
MAPK9,ZC3H12C,1
MAPK9,SOCS7,1
MAPK9,PDPK1,1
MAPK9,WAC,1
MAPK9,WEE1,1
MAPK9,ZNF665,1
MAPK9,TBL1XR1,1
MAPK9,GPRIN3,1
MAPK9,MTMR3,1
MAPK9,CADM2,1
MAPK9,ZDHHC20,1
MAPK9,RAB3IP,1
MAPK9,CYB561D1,1
MAPK9,PRNP,1
MAPK9,ABHD15,1
MAPK9,QRFPR,1
MAPK9,CCDC137,1
MAPK9,DSTYK,1
MAPK9,RTN3,1
MAPK9,ZBTB37,1
MAPK9,A1CF,1
MAPK9,FHDC1,1
MAPK9,MAP3K2,1
MAPK9,RBM12B,1
MAPK9,XIAP,1
MAPK9,HIP1,1
MAPK9,SLC7A11,1
MAPK9,TMOD3,1
MAPK9,PLEKHM1,1
MAPK9,ZNF652,1
MAPK9,ZFYVE26,1
MAPK9,TTC9,1
MAPK9,MTMR9,1
MAPK9,WSB1,1
MAPK9,RLIM,1
MAPK9,IRAK4,1
MAPK9,ARID4B,1
MAPK9,KLF3,1
MAPK9,TLR7,1
MAPK9,OCIAD1,1
MAPK9,FKBP14,1
MAPK9,RAB42,1
MAPK9,C18orf32,1
MAPK9,BCL2L2,1
MAPK9,CDKN1A,1
MAPK9,PRKACB,1
MAPK9,SPIB,1
MAPK9,RAB5B,1
MAPK9,RND3,1
MAPK9,ARHGAP12,1
MAPK9,GTF2H3,1
MAPK9,YOD1,1
MAPK9,HIPK3,1
MAPK9,POLM,1
MAPK9,PKNOX1,1
MAPK9,ZNF385A,1
MAPK9,ENPP5,1
MAPK9,NRIP3,1
MAPK9,NUFIP2,1
MAPK9,WNK3,1
MAPK9,ZNFX1,1
MAPK9,LY6G5B,1
MAPK9,CFL2,1
MAPK9,SERF1A,1
MAPK9,EGLN3,1
MAPK9,ABCG8,1
MAPK9,ZMAT3,1
MAPK9,GPR157,1
MAPK9,SLC35F5,1
MAPK9,TNKS2,1
MAPK9,ZNF805,1
MAPK9,KCNB1,1
MAPK9,MECP2,1
MAPK9,CCDC6,1
MAPK9,MTF1,1
MAPK9,DYRK2,1
