Entrez ID,Gene Symbol,LogFC,p-value,Oncogene Score
10633,RASL10A,-4.26996,9.68021e-05,0.0135073
364,AQP7,-3.269,0.000162727,0.0393074
8854,ALDH1A2,-2.62974,6.39052e-07,0.0173721
3952,LEP,-8.42084,0.000115748,0.126757
6291,SAA2-SAA4,-3.32712,0.000291306,
25836,NIPBL,2.64468,3.38244e-13,0.0696053
1009,CDH11,5.75769,2.75086e-06,0.535108
9370,ADIPOQ,-5.39523,8.6899e-07,0.12372
55568,GALNT10,2.68396,1.61964e-06,0.0125144
11170,FAM107A,-2.8402,0.000188192,0.0422057
4179,CD46,4.76882,8.46895e-05,0.0206253
29760,BLNK,2.62946,0.00021062,0.0780325
953,ENTPD1,3.02345,6.06527e-05,0.102386
871,SERPINH1,2.41812,4.28192e-06,0.0841328
5861,RAB1A,3.09255,6.71891e-12,0.060481
4582,MUC1,3.98886,3.03496e-05,0.378287
81542,TMX1,3.40885,3.55781e-05,0.0120002
2196,FAT2,-2.48262,8.20015e-09,0.0189751
3991,LIPE,-4.22501,1.1766e-05,0.0230398
1908,EDN3,-3.41841,8.38033e-05,0.0944654
720,C4A,3.27096,0.000321145,0.0701669
7511,XPNPEP1,2.34565,1.11239e-07,0.0150458
6288,SAA1,-6.50302,6.244e-05,0.109138
7430,EZR,4.52366,0.000324342,0.30001
10916,MAGED2,2.39727,4.16567e-06,0.0888534
7070,THY1,3.14508,1.14389e-05,0.0821712
3936,LCP1,2.38755,0.00031114,0.418953
3122,HLA-DRA,2.44215,4.34357e-06,0.017293
23185,LARP4B,3.55031,2.91432e-07,0.279847
1397,CRIP2,2.4388,0.000306273,0.0995089
57035,LOC101928189,2.99202,2.07479e-10,
10006,ABI1,2.51913,1.05296e-10,0.560231
988,CDC5L,2.66778,1.11914e-07,0.0332631
1490,CTGF,2.60455,3.56426e-05,
10362,HMG20B,2.3617,7.54908e-09,0.0158919
8644,AKR1C3,-3.83872,0.000448765,0.0384937
2824,GPM6B,-2.96772,3.28151e-06,0.035318
10551,AGR2,2.92524,0.000787947,0.113894
11196,SEC23IP,2.30062,8.825e-12,0.0432408
9526,MPDU1,2.34376,1.24026e-06,
3914,LAMB3,-3.30832,7.2759e-10,0.030057
1410,CRYAB,-4.33966,8.35129e-07,0.0606844
3400,ID4,-2.3257,1.83327e-11,0.125944
6478,SIAH2,4.00111,8.45068e-05,0.520162
3861,KRT14,-3.26415,3.46618e-11,0.124285
9412,LOC101928625,2.60548,3.02481e-10,
5168,ENPP2,-2.42102,2.61418e-07,0.118125
9532,BAG2,2.92758,7.09228e-05,0.088936
1847,DUSP5,3.87743,5.52937e-05,0.0556122
5764,PTN,-3.25638,7.32255e-05,0.120785
8788,DLK1,-5.02871,0.000242395,0.0779962
27065,NSG1,-3.15511,3.60261e-07,0.120692
2770,GNAI1,-3.00681,4.52937e-05,0.0269366
2625,GATA3,3.00074,4.44417e-05,0.757128
6509,SLC1A4,2.56232,0.000966822,0.0189554
125,ADH1B,-3.77926,2.2314e-05,0.0691995
1066,CES1,-4.403,8.1768e-05,0.0354839
3679,ITGA7,-3.14948,0.000742234,0.104601
6285,S100B,-6.56328,0.000129409,0.113127
2203,FBP1,2.60566,1.71177e-05,0.105308
1646,AKR1C2,-5.45587,3.50859e-06,0.088657
91851,CHRDL1,-4.15541,9.24159e-07,0.0397191
11240,PADI2,-3.38032,1.86623e-09,0.103024
6663,SOX10,-4.82754,1.40489e-09,0.120786
23284,LPHN3,-2.58869,2.45858e-05,
6016,RIT1,2.95935,6.59288e-09,0.0239874
2191,FAP,5.00771,1.44512e-06,0.121286
10411,RAPGEF3,-3.64013,4.28774e-09,0.0844925
23049,BOLA2,2.49105,1.03521e-05,
5603,MAPK13,2.34603,1.04362e-05,0.0130614
8416,ANXA9,4.40681,1.71796e-05,0.0957625
23118,TAB2,3.1305,3.17801e-07,0.421705
7531,YWHAE,3.37689,1.47072e-06,0.415962
1672,DEFB1,-3.00507,8.90932e-08,0.0523369
6328,SCN3A,-3.84988,1.35293e-06,0.395544
3624,INHBA,6.39935,1.87143e-05,0.113923
4240,MFGE8,-2.74159,7.50628e-12,0.112596
22996,TTC39A,2.96699,1.20434e-07,0.0114613
5329,PLAUR,4.11479,6.17252e-06,0.306146
825,CAPN3,-2.43438,1.24819e-16,
8908,GYG2,-5.44369,0.000201749,0.0156764
367,AR,3.4592,2.00369e-07,0.742052
8706,B3GALNT1,2.39364,0.000304539,0.0117422
6457,SH3GL3,-6.90362,5.61171e-06,0.00147832
4337,MOCS1,-2.88333,1.60479e-10,0.00458997
83988,NCALD,-3.12573,1.1387e-10,0.100699
2327,FMO2,-3.14636,1.02011e-08,0.0376682
10955,SERINC3,2.36113,1.96127e-05,0.0138737
10963,STIP1,4.50668,2.03312e-05,0.0502482
1291,COL6A1,2.3019,8.79744e-05,0.101094
57509,MTUS1,3.20219,3.46447e-05,0.0914577
23253,ANKRD12,2.52935,1.1918e-07,0.100587
8879,SGPL1,2.48457,1.06965e-06,0.0559011
23213,SULF1,6.11335,0.000118157,0.105679
253782,CERS6,2.41881,8.10385e-09,0.100531
9645,MICAL2,4.4667,2.34429e-06,0.118407
23030,KDM4B,2.57609,5.44401e-08,0.0777503
23336,SYNM,-4.47407,2.49272e-11,0.0481069
27246,RNF115,2.38537,7.30238e-10,0.194952
10562,OLFM4,-4.37889,0.000341934,0.0835957
23158,TBC1D9,2.72712,7.40944e-09,0.115415
25903,OLFML2B,2.7895,1.35642e-05,0.0156696
