genes,Entrez ID,Gene Symbol,GSM1116180,GSM1116181,GSM1116184,GSM1116187,GSM1116190,GSM1116191,GSM1116194,GSM1116195,GSM1116199,GSM1116200,GSM1116203,GSM1116204,GSM1116205,GSM1116208,GSM1116209,GSM1116213,GSM1116216,GSM1116217,GSM1116220,GSM1116221,GSM1116222,GSM1116223,GSM1116224,GSM1116225,GSM1116228,GSM1116231,GSM1116232,GSM1116234,GSM1116235
228666_at,348110,ARPIN,3.3962,3.39333,3.46342,3.40983,3.36181,3.39375,3.49696,3.4889,3.65287,3.4451,3.27859,3.50639,3.2833,3.4012,3.38656,3.33031,3.37382,3.37533,3.28737,3.5068,3.51617,3.445,3.54455,3.48427,3.42086,3.48144,3.47676,3.40618,3.39509
228667_at,56895,AGPAT4,2.71313,2.7323,2.96171,2.81648,3.87533,2.46723,3.22687,2.55115,2.53111,2.55567,2.52346,3.05377,2.52884,2.71399,2.66576,2.62496,2.46677,2.5086,2.82403,2.70259,2.70161,4.07902,3.13999,2.65588,2.51966,2.68567,2.54489,2.47564,2.49622
228670_at,7011,TEP1,7.74479,7.13564,7.38064,7.6318,7.20653,6.8558,7.33227,7.16549,7.01807,7.31974,7.03669,7.55838,7.9452,6.73985,7.55872,7.20909,7.0592,7.1328,7.04629,6.81829,7.55829,7.34596,6.57528,7.20956,7.35478,7.9198,7.18301,7.31698,6.57457
228674_s_at,27436,EML4,6.90027,7.91652,7.41211,6.78472,8.05093,6.97778,7.62037,7.36086,6.96057,7.04959,7.3626,6.43119,5.53015,7.95676,8.50423,8.22639,7.0601,7.43138,6.65128,7.32703,7.94374,3.35848,7.27297,6.34694,7.91295,6.96085,6.89665,7.21713,7.78851
228675_at,100131733,USP30-AS1,3.03397,3.04706,3.00624,2.72689,3.10591,3.2959,3.22783,2.98143,3.08974,3.12097,3.18887,3.19652,3.20065,3.32002,3.01315,3.01417,3.05272,3.03243,3.08064,3.06423,3.64766,2.8818,3.02093,2.98354,3.1212,3.1984,3.3035,3.00986,3.01303
228676_at,220064,ORAOV1,3.99903,3.99787,3.91548,3.70698,3.81434,3.94025,4.12506,3.93842,4.68533,4.13147,6.22156,3.72633,5.52436,3.98542,3.88884,4.37425,4.17713,4.22107,4.12017,4.3269,4.24695,4.39875,4.66095,4.17493,3.79872,4.14746,3.9934,4.39837,4.35532
228677_s_at,64926,RASAL3,3.60337,4.17307,4.10349,4.20312,5.16936,3.88497,3.95673,3.97491,4.09744,4.07975,4.79691,3.84375,3.73142,2.91105,4.19822,3.23508,1.96208,4.52993,2.93264,4.50216,5.47572,5.16409,4.03489,3.15569,4.4088,3.3762,3.17291,3.09159,4.0651
228678_at,414918,DENND6B,5.70429,5.71581,5.6988,5.97518,5.5368,5.89104,5.64393,5.8945,6.30644,5.56202,5.94389,6.20476,5.70417,5.71368,6.05097,5.78234,5.81584,6.02463,5.79769,5.72795,5.72671,6.20798,7.22538,6.22525,6.04171,6.04526,5.98644,5.80093,6.28461
228680_at,11127,KIF3A,7.37561,7.0185,7.53705,8.18589,7.42872,7.44219,7.63922,7.41571,7.32212,8.11958,7.78693,7.99825,7.9549,7.62779,6.90372,7.10456,7.78324,7.03593,7.31391,7.65677,7.40561,7.77256,7.51848,8.92447,8.20056,6.86724,7.70242,8.18408,7.6167
228686_at,644873,LINC01184,6.48533,6.19332,6.41613,5.05779,5.39156,4.69105,5.47108,5.6894,4.88616,5.8905,5.06168,4.31454,6.57321,5.01421,5.99577,6.21239,6.07549,6.36952,4.04937,7.80092,6.08726,4.18719,5.80955,5.47037,5.59122,5.78132,7.37999,6.65846,5.88724
