Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
BGN,CALU,0.655,0.000114751,0.00790012
ACSS2,ASPN,-0.655,0.000116591,0.00798406
ALYREF,DDX42,0.655,0.000116591,0.00798406
CD36,CLDN5,0.655,0.000116591,0.00798406
LOC100506558,SYNM,0.655,0.000116591,0.00798406
ITIH5,TNXA,0.655,0.000116591,0.00798406
NDRG2,PAMR1,0.655,0.000116591,0.00798406
CCT2,TMX1,0.655,0.000116591,0.00798406
DCTN4,RAB14,0.655,0.000116591,0.00798406
COL5A2,INHBA,0.655,0.000116591,0.00798406
CDC5L,SCARB2,0.655,0.000116591,0.00798406
DCTD,SYPL1,0.655,0.000116591,0.00798406
SCOC,ZNF146,0.655,0.000116591,0.00798406
CCT2,UEVLD,0.655,0.000116591,0.00798406
BIN1,PEAR1,0.655,0.000116591,0.00798406
EDNRB,IGSF10,0.655,0.000116591,0.00798406
FKBP14,NID2,0.655,0.000116591,0.00798406
MICAL2,NID2,0.655,0.000116591,0.00798406
FAM214A,GJB2,-0.654,0.000118457,0.00806388
C12orf5,TMEM206,0.654,0.000118457,0.00806388
GDE1,TSPAN31,0.654,0.000118457,0.00806388
ANGPT1,C1orf213,0.654,0.000118457,0.00806388
PDLIM5,RIOK3,0.654,0.000118457,0.00806388
NES,PALMD,0.654,0.000118457,0.00806388
ABCA8,FAT2,0.654,0.000118457,0.00806388
CAPN3,KLHL29,0.654,0.000118457,0.00806388
SOD3,VWF,0.654,0.000118457,0.00806388
ARFGEF1,TMEM230,0.654,0.000118457,0.00806388
LAPTM4B,SAE1,0.654,0.000118457,0.00806388
COL8A2,TRIM59,0.654,0.000118457,0.00806388
C16orf72,DCTN4,0.654,0.000118457,0.00806388
RHOA,UEVLD,0.654,0.000118457,0.00806388
SP1,SRSF3,0.654,0.000118457,0.00806388
CCNB1,UBE2T,0.654,0.000118457,0.00806388
ADAMTS9,EBF1,0.654,0.000118457,0.00806388
GLUL,TTPAL,0.654,0.000118457,0.00806388
CALU,RUNX1-IT1,0.654,0.000118457,0.00806388
ARHGEF15,SETD5,-0.654,0.000120349,0.00814455
FNDC1,MAPK13,-0.654,0.000120349,0.00814455
HLA-DRA,RUNX1-IT1,0.654,0.000120349,0.00814455
AOC3,CLDN5,0.654,0.000120349,0.00814455
DMD,MIA,0.654,0.000120349,0.00814455
LOC100506558,MIR143HG,0.654,0.000120349,0.00814455
FAT2,SFRP1,0.654,0.000120349,0.00814455
CFD,EDNRB,0.654,0.000120349,0.00814455
ARFGEF1,RAB1A,0.654,0.000120349,0.00814455
ARPC5,NREP,0.654,0.000120349,0.00814455
FAR1,RAB1A,0.654,0.000120349,0.00814455
LOC100190986,PTER,0.654,0.000120349,0.00814455
ARF4,C16orf72,0.654,0.000120349,0.00814455
CTNNA1,YIPF5,0.654,0.000120349,0.00814455
OCIAD1,UEVLD,0.654,0.000120349,0.00814455
ALYREF,HN1,0.654,0.000120349,0.00814455
CHRDL1,FXYD1,0.654,0.000120349,0.00814455
COMP,FAP,0.654,0.000120349,0.00814455
COL5A1,KDELR3,0.654,0.000120349,0.00814455
GSPT1,VWF,-0.653,0.000122268,0.00821093
AKR1C2,TMEM132C,0.653,0.000122268,0.00821093
GPX3,MEOX1,0.653,0.000122268,0.00821093
DDX42,GDE1,0.653,0.000122268,0.00821093
RASIP1,SIK2,0.653,0.000122268,0.00821093
BZW1,RIOK3,0.653,0.000122268,0.00821093
BZW1,MIER3,0.653,0.000122268,0.00821093
CFD,DMD,0.653,0.000122268,0.00821093
LIPE,VWF,0.653,0.000122268,0.00821093
PEAR1,PIGR,0.653,0.000122268,0.00821093
FXYD1,PIGR,0.653,0.000122268,0.00821093
CDC5L,STIP1,0.653,0.000122268,0.00821093
CCT2,MATR3,0.653,0.000122268,0.00821093
DICER1,FUS,0.653,0.000122268,0.00821093
C16orf13,SEC23IP,0.653,0.000122268,0.00821093
ASCC1,B3GNT2,0.653,0.000122268,0.00821093
AC092192.1,SH3GL3,0.653,0.000122268,0.00821093
GDI2,TMEM230,0.653,0.000122268,0.00821093
ARPC5,HNRNPF,0.653,0.000122268,0.00821093
SEPT2,UBE4B,0.653,0.000122268,0.00821093
DCTD,PIK3C2A,0.653,0.000122268,0.00821093
FNDC1,TNFRSF19,0.653,0.000122268,0.00821093
C12orf75,THY1,0.653,0.000122268,0.00821093
COL10A1,NID2,0.653,0.000122268,0.00821093
GXYLT2,MFAP2,0.653,0.000122268,0.00821093
DCTN4,DDX42,0.653,0.000124214,0.00828315
ADAMTS9-AS2,TNXA,0.653,0.000124214,0.00828315
ATP6V1A,ESRP1,0.653,0.000124214,0.00828315
CDC42EP5,NR3C2,0.653,0.000124214,0.00828315
CCM2L,EDNRB,0.653,0.000124214,0.00828315
ADH1C,ITIH5,0.653,0.000124214,0.00828315
RNF115,ZNF281,0.653,0.000124214,0.00828315
C16orf13,TMEM50B,0.653,0.000124214,0.00828315
SFRP1,TNXA,0.653,0.000124214,0.00828315
NDRG2,NES,0.653,0.000124214,0.00828315
OSTC,YWHAZ,0.653,0.000124214,0.00828315
EDEM3,GLUL,0.653,0.000124214,0.00828315
C16orf72,NREP,0.653,0.000124214,0.00828315
ARFIP1,TAB2,0.653,0.000124214,0.00828315
CLIC4,SPOCK1,0.653,0.000124214,0.00828315
CALU,NREP,0.653,0.000124214,0.00828315
OPHN1,TCTN2,0.653,0.000124214,0.00828315
ARFIP1,MAPRE1,0.653,0.000124214,0.00828315
CTNNA1,LAMP1,0.653,0.000124214,0.00828315
AL833181,RASIP1,0.653,0.000124214,0.00828315
AKR1C2,ITGA7,0.653,0.000124214,0.00828315
COL5A2,OLFML2B,0.653,0.000124214,0.00828315
DNM3OS,SERPINH1,0.653,0.000124214,0.00828315
LIPE,TMEM230,-0.652,0.000126188,0.00835618
ACSS2,COL5A1,-0.652,0.000126188,0.00835618
CLDN5,GPX3,0.652,0.000126188,0.00835618
BZW1,SRSF3,0.652,0.000126188,0.00835618
PGM5,PLAC9,0.652,0.000126188,0.00835618
CFD,SAMD5,0.652,0.000126188,0.00835618
ARHGDIB,MRPL42,0.652,0.000126188,0.00835618
APPL2,NR3C2,0.652,0.000126188,0.00835618
PLIN4,VWF,0.652,0.000126188,0.00835618
RAD21,TPD52,0.652,0.000126188,0.00835618
HSP90AB1,MATR3,0.652,0.000126188,0.00835618
DST,GABRP,0.652,0.000126188,0.00835618
TMX1,TSN,0.652,0.000126188,0.00835618
EIF4E,OSTC,0.652,0.000126188,0.00835618
FAR1,SCARB2,0.652,0.000126188,0.00835618
JAK1,SERPINH1,0.652,0.000126188,0.00835618
NID2,OSTC,0.652,0.000126188,0.00835618
MFAP2,PRRX1,0.652,0.000126188,0.00835618
AK094644,SH3GL3,0.652,0.000126188,0.00835618
LAMP1,MAPRE1,0.652,0.000126188,0.00835618
GOLGA7,TSN,0.652,0.000126188,0.00835618
PAMR1,TRIM29,0.652,0.000126188,0.00835618
CCDC3,LMOD1,0.652,0.000126188,0.00835618
F11R,LRRN4CL,-0.652,0.00012819,0.00844018
FCRL2,LSM4,-0.652,0.00012819,0.00844018
GPX3,TNXA,0.652,0.00012819,0.00844018
ANKRD35,SFRP2,0.652,0.00012819,0.00844018
ANKRD35,DMD,0.652,0.00012819,0.00844018
CLIC4,EIF4A2,0.652,0.00012819,0.00844018
LOC100190986,NOLC1,0.652,0.00012819,0.00844018
ANKRD35,EBF1,0.652,0.00012819,0.00844018
ADAMTS9-AS2,CHRDL1,0.652,0.00012819,0.00844018
ATP6V1A,CTNNA1,0.652,0.00012819,0.00844018
DNAJB1,RHOB,0.652,0.00012819,0.00844018
SAE1,YWHAZ,0.652,0.00012819,0.00844018
CLIC4,CTNNA1,0.652,0.00012819,0.00844018
FNDC1,TIMP3,0.652,0.00012819,0.00844018
COL12A1,PLAUR,0.652,0.00012819,0.00844018
MRPL42,PSMD10,0.652,0.00012819,0.00844018
ID4,SFRP1,0.652,0.00012819,0.00844018
ABI1,CD46,0.652,0.00012819,0.00844018
CALU,VCAN,0.652,0.00012819,0.00844018
KDELR3,SCCPDH,-0.651,0.000130219,0.00853272
SCOC,TSPAN31,0.651,0.000130219,0.00853272
CILP,COL3A1,0.651,0.000130219,0.00853272
ADAMTS9,ITGA7,0.651,0.000130219,0.00853272
LOC101927027,SP1,0.651,0.000130219,0.00853272
AGTRAP,SAE1,0.651,0.000130219,0.00853272
ANGPT1,VIT,0.651,0.000130219,0.00853272
SELT,UEVLD,0.651,0.000130219,0.00853272
ADAMTS5,MFGE8,0.651,0.000130219,0.00853272
COL8A2,WNT5A,0.651,0.000130219,0.00853272
ARPC5,MRPL42,0.651,0.000130219,0.00853272
FAT2,TRIM29,0.651,0.000130219,0.00853272
ECT2,ZWINT,0.651,0.000130219,0.00853272
CDC42EP5,ENPP2,0.651,0.000130219,0.00853272
AGPAT9,BIN1,0.651,0.000130219,0.00853272
COL8A2,MICAL2,0.651,0.000130219,0.00853272
PTPRS,ZNF595,-0.651,0.000132277,0.00862881
RIOK3,SOD3,-0.651,0.000132277,0.00862881
KLHL29,RASIP1,0.651,0.000132277,0.00862881
BZW1,TMEM245,0.651,0.000132277,0.00862881
CD36,CDKN2C,0.651,0.000132277,0.00862881
CRYAB,KLHL13,0.651,0.000132277,0.00862881
GDE1,SCOC,0.651,0.000132277,0.00862881
C1QTNF6,PRRX1,0.651,0.000132277,0.00862881
GJB2,TRIM59,0.651,0.000132277,0.00862881
CLIC4,FAP,0.651,0.000132277,0.00862881
MAPRE1,RHOA,0.651,0.000132277,0.00862881
ARPC5,PPP1R11,0.651,0.000132277,0.00862881
ARFIP1,MIER3,0.651,0.000132277,0.00862881
ADAMTS9-AS2,NR3C2,0.651,0.000132277,0.00862881
EDNRB,SIK2,0.651,0.000132277,0.00862881
BIN1,LINC00408,-0.651,0.000132978,0.00867194
CIDEC,PRPF31,-0.65,0.000134364,0.00870524
KDM5B,KIAA0101,-0.65,0.000134364,0.00870524
CRABP1,MME,0.65,0.000134364,0.00870524
KIT,RASIP1,0.65,0.000134364,0.00870524
RASIP1,RGMA,0.65,0.000134364,0.00870524
RGMA,SOX10,0.65,0.000134364,0.00870524
BTNL9,FOXC1,0.65,0.000134364,0.00870524
CLEC3B,EDNRB,0.65,0.000134364,0.00870524
CD46,HSP90AB1,0.65,0.000134364,0.00870524
DDA1,SRSF3,0.65,0.000134364,0.00870524
COL12A1,TRIM59,0.65,0.000134364,0.00870524
ANKH,COL10A1,0.65,0.000134364,0.00870524
DCTD,MRPL42,0.65,0.000134364,0.00870524
TMEM245,UBE2N,0.65,0.000134364,0.00870524
DCTD,RRM1,0.65,0.000134364,0.00870524
CREB1,SYPL1,0.65,0.000134364,0.00870524
C16orf72,TSN,0.65,0.000134364,0.00870524
RHOA,SP1,0.65,0.000134364,0.00870524
AKR1C3,SOD3,0.65,0.000134364,0.00870524
EBF1,SFRP1,0.65,0.000134364,0.00870524
GMFB,MATR3,0.65,0.000134364,0.00870524
C1QTNF6,FNDC1,0.65,0.000134364,0.00870524
FOLR1,KCTD14,0.65,0.000135075,0.00874871
STARD10,TRIQK,-0.65,0.00013648,0.00877994
ACSS2,COL5A2,-0.65,0.00013648,0.00877994
GATA3,SERPINH1,-0.65,0.00013648,0.00877994
CSNK1A1,PDE2A,-0.65,0.00013648,0.00877994
CES1,DMD,0.65,0.00013648,0.00877994
ANKRD29,TMEM100,0.65,0.00013648,0.00877994
DDX42,PRPF31,0.65,0.00013648,0.00877994
ABCA8,ANKRD35,0.65,0.00013648,0.00877994
LMOD1,RGMA,0.65,0.00013648,0.00877994
DDX42,MATR3,0.65,0.00013648,0.00877994
KCTD5,MAPRE1,0.65,0.00013648,0.00877994
MAMDC2,PAMR1,0.65,0.00013648,0.00877994
TMEM50B,UEVLD,0.65,0.00013648,0.00877994
LOC100271840,TRIM59,0.65,0.00013648,0.00877994
GNAI3,UBE2N,0.65,0.00013648,0.00877994
EZR,RAD1,0.65,0.00013648,0.00877994
MAPRE1,NAPA,0.65,0.00013648,0.00877994
FBN1,STK38,0.65,0.00013648,0.00877994
ALOX5AP,STK38,0.65,0.00013648,0.00877994
BRCC3,MRPL42,0.65,0.00013648,0.00877994
RIOK3,TSN,0.65,0.00013648,0.00877994
ARPC5,CTNNA1,0.65,0.00013648,0.00877994
CCDC3,MEOX1,0.65,0.00013648,0.00877994
DPY19L2P2,ZFP36L2,-0.649,0.000138625,0.00886064
ANKRD29,TNXA,0.649,0.000138625,0.00886064
BAG2,PID1,0.649,0.000138625,0.00886064
BZW1,COMMD10,0.649,0.000138625,0.00886064
C16orf72,CSNK1A1,0.649,0.000138625,0.00886064
ADAMTS9,COL6A6,0.649,0.000138625,0.00886064
CAPN3,MEOX1,0.649,0.000138625,0.00886064
FNIP1,RIOK3,0.649,0.000138625,0.00886064
DDA1,STIP1,0.649,0.000138625,0.00886064
B3GNT2,COMMD10,0.649,0.000138625,0.00886064
B3GNT2,CFL1,0.649,0.000138625,0.00886064
ETNK1,UEVLD,0.649,0.000138625,0.00886064
EIF4E,LAPTM4B,0.649,0.000138625,0.00886064
CTGF,STK38,0.649,0.000138625,0.00886064
PSMD10,SLC30A5,0.649,0.000138625,0.00886064
DCTN4,SP1,0.649,0.000138625,0.00886064
AKR1C2,FMO2,0.649,0.000138625,0.00886064
ADH1B,CIDEC,0.649,0.000138625,0.00886064
ADAMTS5,CILP,0.649,0.000138625,0.00886064
IGFBP6,MEOX1,0.649,0.000138625,0.00886064
CDC42EP5,MID1,0.649,0.000138625,0.00886064
CDH11,GREM1,0.649,0.000138625,0.00886064
LIPE,RIOK3,-0.649,0.000140801,0.00895261
COL3A1,SCCPDH,-0.649,0.000140801,0.00895261
DNAJB1,FCRL2,-0.649,0.000140801,0.00895261
DICER1,SP1,0.649,0.000140801,0.00895261
AOC3,EDNRB,0.649,0.000140801,0.00895261
DMD,GNAL,0.649,0.000140801,0.00895261
GSPT1,KCTD5,0.649,0.000140801,0.00895261
AGTRAP,OAZ2,0.649,0.000140801,0.00895261
KLHL29,LGR6,0.649,0.000140801,0.00895261
CAPN3,FOXC1,0.649,0.000140801,0.00895261
ABCA8,ITIH5,0.649,0.000140801,0.00895261
CRYAB,PADI2,0.649,0.000140801,0.00895261
M6PR,NIPBL,0.649,0.000140801,0.00895261
FAR1,PSMD10,0.649,0.000140801,0.00895261
FOXC1,LRRN4CL,0.649,0.000140801,0.00895261
CCL14,ENPP2,0.649,0.000140801,0.00895261
CCDC3,IGFBP6,0.649,0.000140801,0.00895261
ABI1,MATR3,0.649,0.000140801,0.00895261
BGN,NAPA,-0.648,0.000143006,0.00902986
ANKRD29,RASIP1,0.648,0.000143006,0.00902986
ANKRD29,DMD,0.648,0.000143006,0.00902986
ATP6V1A,DSG2,0.648,0.000143006,0.00902986
LRRC41,YIF1B,0.648,0.000143006,0.00902986
GDE1,KCTD5,0.648,0.000143006,0.00902986
DNAJB1,PGRMC1,0.648,0.000143006,0.00902986
AIFM2,TPP1,0.648,0.000143006,0.00902986
CX3CL1,OXTR,0.648,0.000143006,0.00902986
CCT2,NREP,0.648,0.000143006,0.00902986
GALNT10,RUNX1-IT1,0.648,0.000143006,0.00902986
PLAUR,SERPINH1,0.648,0.000143006,0.00902986
C1orf56,LARP4B,0.648,0.000143006,0.00902986
ALOX5AP,B3GNT2,0.648,0.000143006,0.00902986
ARPC5,YWHAE,0.648,0.000143006,0.00902986
ARHGEF4,FZD4,0.648,0.000143006,0.00902986
NDRG2,SOX10,0.648,0.000143006,0.00902986
DMD,KIT,0.648,0.000143006,0.00902986
BIN1,ENPP2,0.648,0.000143006,0.00902986
CD46,KDM5B,0.648,0.000143006,0.00902986
DNAJC3,UBE2H,0.648,0.000143006,0.00902986
COL6A1,VCAN,0.648,0.000143006,0.00902986
C1QTNF6,CALU,0.648,0.000143006,0.00902986
C1QTNF3,POSTN,0.648,0.000143006,0.00902986
ALDH1L1,SCN3A,-0.648,0.000145242,0.00911058
GNAI1,MAMDC2,0.648,0.000145242,0.00911058
ADH1B,FAT2,0.648,0.000145242,0.00911058
CCL14,RAPGEF3,0.648,0.000145242,0.00911058
BZW1,PRPF31,0.648,0.000145242,0.00911058
NOLC1,PIK3C2A,0.648,0.000145242,0.00911058
ATP6V1A,RAB14,0.648,0.000145242,0.00911058
KRT5,MAMDC2,0.648,0.000145242,0.00911058
HSP90AB1,SERINC3,0.648,0.000145242,0.00911058
HN1,STK38,0.648,0.000145242,0.00911058
CCT2,DDA1,0.648,0.000145242,0.00911058
EZR,YIPF5,0.648,0.000145242,0.00911058
NAPA,OCIAD1,0.648,0.000145242,0.00911058
M6PR,UEVLD,0.648,0.000145242,0.00911058
CREB1,FAR1,0.648,0.000145242,0.00911058
EDEM3,LOC441259,0.648,0.000145242,0.00911058
DICER1,MATR3,0.648,0.000145242,0.00911058
ARPC5,UBE2N,0.648,0.000145242,0.00911058
GATA3,KCTD3,0.648,0.000145242,0.00911058
KLHL29,SEMA3G,0.648,0.000145242,0.00911058
CERS6,FOXA1,0.648,0.000145242,0.00911058
GLUL,TMEM50B,0.648,0.000145242,0.00911058
C1QTNF6,COL8A2,0.648,0.000145242,0.00911058
ARHGEF15,RAB5A,-0.647,0.000147509,0.00921843
CCM2L,DSG2,-0.647,0.000147509,0.00921843
CNTNAP3,LGALS12,-0.647,0.000147509,0.00921843
ABI1,ATP6V1A,0.647,0.000147509,0.00921843
ADAMTS9-AS2,CCDC3,0.647,0.000147509,0.00921843
NPR1,SOSTDC1,0.647,0.000147509,0.00921843
ADAMTS9-AS2,PAMR1,0.647,0.000147509,0.00921843
CRYAB,HSPB2,0.647,0.000147509,0.00921843
KLHL13,TRIM29,0.647,0.000147509,0.00921843
CLIC4,CTHRC1,0.647,0.000147509,0.00921843
GDI2,RHOA,0.647,0.000147509,0.00921843
MAMDC2,PIGR,0.647,0.000147509,0.00921843
ID4,KLHL29,0.647,0.000147509,0.00921843
CSNK1A1,VWF,-0.647,0.000149808,0.00931948
CHRDL1,G0S2,0.647,0.000149808,0.00931948
FZD4,INMT,0.647,0.000149808,0.00931948
ADAMTS9-AS2,PIGR,0.647,0.000149808,0.00931948
FRYL,POGK,0.647,0.000149808,0.00931948
FXYD1,RSPO3,0.647,0.000149808,0.00931948
PIK3C2A,TMX1,0.647,0.000149808,0.00931948
CDC5L,GLUL,0.647,0.000149808,0.00931948
UBE4B,VTA1,0.647,0.000149808,0.00931948
M6PR,PIK3C2A,0.647,0.000149808,0.00931948
FKBP14,TIMP3,0.647,0.000149808,0.00931948
JAK1,PRRX1,0.647,0.000149808,0.00931948
CTNNA1,SETD5,0.647,0.000149808,0.00931948
DCTD,PSMD10,0.647,0.000149808,0.00931948
MIER3,NIPBL,0.647,0.000149808,0.00931948
GFPT1,SLC33A1,0.647,0.000149808,0.00931948
FOLR1,RBPMS2,0.646,0.000151759,0.00941624
COL5A1,DOPEY2,-0.646,0.000152138,0.00941624
CDC42EP5,TF,0.646,0.000152138,0.00941624
CCL14,G0S2,0.646,0.000152138,0.00941624
ALDH1L1,VIT,0.646,0.000152138,0.00941624
ARFGEF1,GDE1,0.646,0.000152138,0.00941624
CCM2L,INMT,0.646,0.000152138,0.00941624
SOSTDC1,TNPO1,0.646,0.000152138,0.00941624
EGF,PALMD,0.646,0.000152138,0.00941624
CDC42EP5,F2RL2,0.646,0.000152138,0.00941624
ENPP2,ITIH5,0.646,0.000152138,0.00941624
MATR3,SCARB2,0.646,0.000152138,0.00941624
ASCC1,COMMD10,0.646,0.000152138,0.00941624
CDC5L,MAPRE1,0.646,0.000152138,0.00941624
SLC30A5,UEVLD,0.646,0.000152138,0.00941624
GOLGA7,SP1,0.646,0.000152138,0.00941624
FNDC1,OLFML2B,0.646,0.000152138,0.00941624
MICAL2,PPAPDC1A,0.646,0.000152138,0.00941624
ADH1C,AOC3,0.646,0.0001545,0.00951936
ACVR1C,PC,0.646,0.0001545,0.00951936
ADAMTS9-AS2,IGFBP6,0.646,0.0001545,0.00951936
G0S2,MARC1,0.646,0.0001545,0.00951936
PID1,SOX10,0.646,0.0001545,0.00951936
ALYREF,MAPRE1,0.646,0.0001545,0.00951936
CFL1,JAK1,0.646,0.0001545,0.00951936
OCIAD1,SLC17A5,0.646,0.0001545,0.00951936
GDE1,PGRMC1,0.646,0.0001545,0.00951936
PBX1,SIDT1,0.646,0.0001545,0.00951936
MAPRE1,YIPF5,0.646,0.0001545,0.00951936
CREB1,ZNF146,0.646,0.0001545,0.00951936
ADIPOQ,RBP4,0.646,0.0001545,0.00951936
AGPAT9,ANKDD1A,0.646,0.0001545,0.00951936
IGFBP6,PEAR1,0.646,0.0001545,0.00951936
BAG2,BGN,0.646,0.0001545,0.00951936
CA3,LINC00408,0.645,0.000156506,0.00962894
COL5A1,MAPK13,-0.645,0.000156895,0.00962894
FNDC1,TBC1D9,-0.645,0.000156895,0.00962894
AKR1C2,ENPP2,0.645,0.000156895,0.00962894
HNRNPF,NOLC1,0.645,0.000156895,0.00962894
C2orf40,RGMA,0.645,0.000156895,0.00962894
C1S,GNB1,0.645,0.000156895,0.00962894
LOC100190986,RAD1,0.645,0.000156895,0.00962894
MATR3,YIPF5,0.645,0.000156895,0.00962894
NES,PIGR,0.645,0.000156895,0.00962894
RHOA,ZNF146,0.645,0.000156895,0.00962894
LSM4,STIP1,0.645,0.000156895,0.00962894
G0S2,PPP1R1A,0.645,0.000156895,0.00962894
FBN1,TNFRSF19,0.645,0.000156895,0.00962894
DOPEY2,SERPINH1,-0.645,0.000159322,0.00971253
ADAMTS9-AS2,ITGA7,0.645,0.000159322,0.00971253
ITGA7,NES,0.645,0.000159322,0.00971253
AGTRAP,TSPAN31,0.645,0.000159322,0.00971253
CCNB1,TMEM206,0.645,0.000159322,0.00971253
FAM13A-AS1,SYNPO2,0.645,0.000159322,0.00971253
ETNK1,MIA3,0.645,0.000159322,0.00971253
M6PR,SLC33A1,0.645,0.000159322,0.00971253
BTNL9,NES,0.645,0.000159322,0.00971253
DNAJB1,PSMD10,0.645,0.000159322,0.00971253
GPM6B,LARP6,0.645,0.000159322,0.00971253
SP1,TMEM50B,0.645,0.000159322,0.00971253
CYB5R3,STIP1,0.645,0.000159322,0.00971253
DDA1,SAE1,0.645,0.000159322,0.00971253
CD9,TPD52,0.645,0.000159322,0.00971253
PRPF31,SAR1B,0.645,0.000159322,0.00971253
C1QTNF6,OSTC,0.645,0.000159322,0.00971253
CCT2,SETD5,0.645,0.000159322,0.00971253
HNRNPF,HSP90AB1,0.645,0.000159322,0.00971253
NDRG2,SOSTDC1,0.645,0.000159322,0.00971253
IGF1R,RNF115,0.645,0.000159322,0.00971253
GXYLT2,RUNX2,0.645,0.000159322,0.00971253
COL12A1,OLFML2B,0.645,0.000159322,0.00971253
CDH11,DNM3OS,0.645,0.000159322,0.00971253
CKS2,USP21,-0.644,0.000161783,0.0098106
HSPB2,SCN4B,0.644,0.000161783,0.0098106
CXorf40A,LYPLA1,0.644,0.000161783,0.0098106
EDNRB,WIF1,0.644,0.000161783,0.0098106
GFPT1,RAB14,0.644,0.000161783,0.0098106
FBP1,TMEM9,0.644,0.000161783,0.0098106
ENPP2,FOXC1,0.644,0.000161783,0.0098106
ARFGEF1,MAPRE1,0.644,0.000161783,0.0098106
GNAI3,GNB1,0.644,0.000161783,0.0098106
M6PR,SRSF3,0.644,0.000161783,0.0098106
PLAUR,THY1,0.644,0.000161783,0.0098106
FBN1,JAK1,0.644,0.000161783,0.0098106
PRPF31,RAB5A,0.644,0.000161783,0.0098106
HNRNPF,RAD1,0.644,0.000161783,0.0098106
CTB-50L17.7,OAZ2,0.644,0.000161783,0.0098106
C16orf72,TMEM230,0.644,0.000161783,0.0098106
ABI1,LOC100190986,0.644,0.000161783,0.0098106
COL3A1,MFAP2,0.644,0.000161783,0.0098106
COL3A1,SPOCK1,0.644,0.000161783,0.0098106
HSPD1,TMEFF2,-0.644,0.000164277,0.0099042
DNM3OS,F2RL2,0.644,0.000164277,0.0099042
MAMDC2,POU6F1,0.644,0.000164277,0.0099042
MEOX1,PGM5,0.644,0.000164277,0.0099042
ENPP2,NDRG2,0.644,0.000164277,0.0099042
C16orf72,GLUD2,0.644,0.000164277,0.0099042
CRYAB,LARP6,0.644,0.000164277,0.0099042
SOSTDC1,TRIM29,0.644,0.000164277,0.0099042
GLUL,TSN,0.644,0.000164277,0.0099042
CREB1,CYB5R3,0.644,0.000164277,0.0099042
ASAP1,PSMD10,0.644,0.000164277,0.0099042
ASPN,INHBA,0.644,0.000164277,0.0099042
GREM1,INHBA,0.644,0.000164277,0.0099042
CALU,YWHAH,0.644,0.000164277,0.0099042
BRCC3,RIOK3,0.644,0.000164277,0.0099042
CCT2,YIPF5,0.644,0.000164277,0.0099042
IRX1,KLHL13,0.644,0.000164277,0.0099042
IRX1,NDRG2,0.644,0.000164277,0.0099042
P4HB,TPP1,0.644,0.000164277,0.0099042
RUNX1-IT1,THY1,0.644,0.000164277,0.0099042
C1QTNF3,FBN1,0.644,0.000164277,0.0099042
LIPE,RAD1,-0.643,0.000166805,0.0100043
FAT2,FMO2,0.643,0.000166805,0.0100043
MIA,PROM1,0.643,0.000166805,0.0100043
DDX42,RIOK3,0.643,0.000166805,0.0100043
EDEM3,MIA3,0.643,0.000166805,0.0100043
BLVRA,STARD10,0.643,0.000166805,0.0100043
ADAMTS9-AS2,KLHL29,0.643,0.000166805,0.0100043
DDA1,EZR,0.643,0.000166805,0.0100043
CFD,PIGR,0.643,0.000166805,0.0100043
ITIH5,LRRN4CL,0.643,0.000166805,0.0100043
BTNL9,TF,0.643,0.000166805,0.0100043
SOSTDC1,SYNM,0.643,0.000166805,0.0100043
TTPAL,YWHAE,0.643,0.000166805,0.0100043
FRYL,GLUL,0.643,0.000166805,0.0100043
GDE1,MAPRE1,0.643,0.000166805,0.0100043
CD9,DCTN4,0.643,0.000166805,0.0100043
GJB2,OSTC,0.643,0.000166805,0.0100043
NIPBL,SYPL1,0.643,0.000166805,0.0100043
EZR,GDE1,0.643,0.000166805,0.0100043
RAPGEF3,YWHAZ,-0.643,0.000169368,0.0101108
CD36,RASIP1,0.643,0.000169368,0.0101108
FOXC1,RASIP1,0.643,0.000169368,0.0101108
GPR146,ROBO4,0.643,0.000169368,0.0101108
LOC100190986,RAB5A,0.643,0.000169368,0.0101108
MRPL42,TMX1,0.643,0.000169368,0.0101108
COMMD10,REL,0.643,0.000169368,0.0101108
RAB14,YWHAE,0.643,0.000169368,0.0101108
STK38,TIMP3,0.643,0.000169368,0.0101108
JAK1,VTA1,0.643,0.000169368,0.0101108
CCT2,RIOK3,0.643,0.000169368,0.0101108
CTNNA1,RIOK3,0.643,0.000169368,0.0101108
PPP2R5C,SELT,0.643,0.000169368,0.0101108
EDNRB,SFRP1,0.643,0.000169368,0.0101108
DSG2,GMFB,0.643,0.000169368,0.0101108
CFD,VWF,0.643,0.000169368,0.0101108
ASPN,OLFML2B,0.643,0.000169368,0.0101108
BIN1,GATA3,-0.642,0.000171966,0.0102074
LOC100190986,TNPO1,-0.642,0.000171966,0.0102074
PTPRZ1,RASL10A,-0.642,0.000171966,0.0102074
GPR146,MYZAP,0.642,0.000171966,0.0102074
KANK3,RAPGEF3,0.642,0.000171966,0.0102074
PSMD10,TSPAN31,0.642,0.000171966,0.0102074
PBX1,POGK,0.642,0.000171966,0.0102074
SRPK2,UBE2H,0.642,0.000171966,0.0102074
F11R,RNF115,0.642,0.000171966,0.0102074
BRCC3,NOLC1,0.642,0.000171966,0.0102074
OCIAD1,POLR3K,0.642,0.000171966,0.0102074
PIK3C2A,STIP1,0.642,0.000171966,0.0102074
DMD,OXTR,0.642,0.000171966,0.0102074
CD9,PIK3C2A,0.642,0.000171966,0.0102074
