ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
203417_at	MFAP2	microfibrillar associated protein 2	4.809	15.501
203431_s_at	ARHGAP32	Rho GTPase activating protein 32	3.519	10.945
203434_s_at	MME	membrane metallo-endopeptidase	-3.799	12.796
203435_s_at	MME	membrane metallo-endopeptidase	-3.804	17.044
203504_s_at	ABCA1	ATP binding cassette subfamily A member 1	3.099	7.463
203548_s_at	LPL	lipoprotein lipase	-4.344	5.603
203549_s_at	LPL	lipoprotein lipase	-5.285	13.669
203553_s_at	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	3.31	15.206
203570_at	LOXL1	lysyl oxidase like 1	3.221	9.969
203630_s_at	COG5	component of oligomeric golgi complex 5	3.108	14.889
203637_s_at	MID1	midline 1	-3.009	7.685
203687_at	CX3CL1	C-X3-C motif chemokine ligand 1	-3.575	15.093
203766_s_at	LMOD1	leiomodin 1	-3.387	9.954
203876_s_at	MMP11	matrix metallopeptidase 11	5.157	10.62
203878_s_at	MMP11	matrix metallopeptidase 11	6.223	15.798
203881_s_at	DMD	dystrophin	-3.502	9.873
203915_at	CXCL9	C-X-C motif chemokine ligand 9	4.078	4.644
203953_s_at	CLDN3	claudin 3	4.014	8.059
203980_at	FABP4	fatty acid binding protein 4	-5.751	7.393
204006_s_at	FCGR3B///FCGR3A	Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa	3.564	5.956
204017_at	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3	3.388	12.426
204018_x_at	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1	-3.147	5.74
204026_s_at	ZWINT	ZW10 interacting kinetochore protein	3.533	11.222
204088_at	P2RX4	purinergic receptor P2X 4	3.178	11.004
204103_at	CCL4	C-C motif chemokine ligand 4	3.059	7.585
204114_at	NID2	nidogen 2	3.188	8.67
204151_x_at	AKR1C1	aldo-keto reductase family 1 member C1	-4.972	10.352
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	3.266	10.631
204174_at	ALOX5AP	arachidonate 5-lipoxygenase activating protein	3.981	11.119
204271_s_at	EDNRB	endothelin receptor type B	-3.336	10.1
204285_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	3.374	7.158
