Gene.ID,Gene.symbol,logFC,adj.P.Val
90381,TICRR,1.01,0.0719065
27131,SNX5,0.858,0.0719065
9937,DCLRE1A,0.742,0.0719289
391059,FRRS1,0.836,0.072372
9675,TTI1,0.744,0.0726929
55646,LYAR,0.734,0.0726929
10096,ACTR3,0.75,0.0726929
55644,OSGEP,0.784,0.0726929
55156,ARMC1,0.718,0.0731671
7443,VRK1,0.75,0.0731671
10471,PFDN6,0.892,0.0731671
79892,MCMBP,0.786,0.0731671
7804,LRP8,0.738,0.0733511
10678,B3GNT2,0.76,0.0734558
4436,MSH2,0.826,0.0737539
337874,HIST2H2BD,0.866,0.073781
56978,PRDM8,0.828,0.073781
388524,RPSAP58,0.928,0.0740888
388558,ZNF808,0.756,0.0742442
51477,ISYNA1,0.884,0.0742442
146857,SLFN13,0.948,0.0743976
65993,MRPS34,0.784,0.0745269
5163,PDK1,1.06,0.0745269
730394,GTF2H2C_2,0.958,0.074899
728340,GTF2H2C,0.958,0.074899
653238,GTF2H2B,0.958,0.074899
2966,GTF2H2,0.958,0.074899
8766,RAB11A,0.724,0.0750997
2305,FOXM1,0.704,0.0751294
29088,MRPL15,0.884,0.0751858
26207,PITPNC1,0.854,0.0753663
22995,CEP152,0.754,0.075622
57508,INTS2,0.722,0.0759531
5884,RAD17,1.01,0.0760436
22974,TPX2,0.92,0.0761108
55751,TMEM184C,0.764,0.0761621
54552,GNL3L,0.758,0.0763913
10721,POLQ,0.96,0.0763913
55180,LINS1,0.904,0.0763913
254394,MCM9,0.818,0.0763913
112495,GTF3C6,1.01,0.0765364
3832,KIF11,1.07,0.0766491
151507,MSL3P1,1.02,0.0766491
58497,PRUNE1,0.7,0.0770114
100526837,EEF1E1-BLOC1S5,0.836,0.0778883
9521,EEF1E1,0.836,0.0778883
57510,XPO5,0.838,0.078081
8355,HIST1H3G,0.776,0.0782719
2960,GTF2E1,0.748,0.0782719
57171,DOLPP1,0.712,0.0783803
2034,EPAS1,0.828,0.0784272
5226,PGD,0.736,0.0792851
1736,DKC1,0.762,0.079502
84245,MRI1,0.802,0.0796058
4724,NDUFS4,0.728,0.0796058
79866,BORA,0.842,0.0800897
5557,PRIM1,0.946,0.0803435
1978,EIF4EBP1,0.8,0.0804083
102,ADAM10,0.722,0.0804083
4430,MYO1B,0.924,0.0804083
5693,PSMB5,0.784,0.0816652
2969,GTF2I,0.81,0.0817732
10793,ZNF273,0.732,0.081865
166929,SGMS2,1.11,0.081865
83448,PUS7L,1.04,0.0822046
8732,RNGTT,0.788,0.0823785
140823,ROMO1,0.784,0.0830308
3683,ITGAL,1.04,0.0832057
79973,ZNF442,0.764,0.0833583
79728,PALB2,0.94,0.0838177
5337,PLD1,0.812,0.0841968
9111,NMI,1.25,0.0842318
56992,KIF15,0.954,0.0845417
116173,CMTM5,0.882,0.0845417
701,BUB1B,0.82,0.0847667
100101467,ZSCAN30,0.734,0.0856123
55916,NXT2,0.738,0.0859231
57628,DPP10,1.83,0.0859231
6391,SDHC,0.708,0.0860336
26271,FBXO5,1.13,0.0861703
205,AK4,0.812,0.0863932
92579,G6PC3,0.824,0.0864207
6678,SPARC,1.22,0.086439
3955,LFNG,0.726,0.0866585
5937,RBMS1,0.812,0.0867753
83856,FSD1L,0.766,0.0875321
171392,ZNF675,0.974,0.0883857
3553,IL1B,1.08,0.0884028
2811,GP1BA,1.19,0.0886661
80231,CXorf21,1.02,0.0888951
9581,PREPL,1.04,0.0889014
11064,CNTRL,0.726,0.089067
116496,FAM129A,0.746,0.089067
4695,NDUFA2,1.11,0.0891058
22832,CEP162,0.714,0.0897006
123,PLIN2,0.776,0.0897006
28985,MCTS1,0.744,0.0897006
220042,DDIAS,0.798,0.089989
55737,VPS35,0.762,0.0904429
1027,CDKN1B,1.14,0.0913407
84668,FAM126A,0.746,0.0914726
23649,POLA2,0.828,0.0923359
83892,KCTD10,0.764,0.0923359
9156,EXO1,0.784,0.0924802
23406,COTL1,0.77,0.0930039
64151,NCAPG,0.894,0.0930039
51520,LARS,0.744,0.0930674
55552,ZNF823,0.956,0.0930674
55299,BRIX1,0.946,0.093167
3145,HMBS,0.704,0.0931687
4605,MYBL2,0.926,0.0931687
284098,PIGW,0.768,0.0931687
55256,ADI1,0.84,0.0934482
290,ANPEP,1.04,0.0942978
284406,ZFP82,0.782,0.0942978
55907,CMAS,0.738,0.0944681
6749,SSRP1,0.724,0.0944681
22878,TRAPPC8,0.722,0.0947953
55226,NAT10,0.77,0.0951086
55796,MBNL3,0.74,0.0953448
60684,TRAPPC11,0.788,0.0955447
84206,MEX3B,0.712,0.0956141
55723,ASF1B,0.874,0.095881
348235,SKA2,0.882,0.0958936
57118,CAMK1D,0.786,0.0959573
1786,DNMT1,0.832,0.0959573
10195,ALG3,0.796,0.0962393
9337,CNOT8,0.896,0.0963971
58485,TRAPPC1,0.852,0.0971103
55347,ABHD10,1.05,0.0971427
55840,EAF2,0.732,0.0971807
374354,NHLRC2,0.758,0.0972428
84196,USP48,0.764,0.0973108
55771,PRR11,0.81,0.097512
6654,SOS1,1.05,0.09794
153339,TMEM167A,0.76,0.0982911
5571,PRKAG1,0.728,0.0987521
8125,ANP32A,0.734,0.0988449
5193,PEX12,1,0.0991483
56647,BCCIP,0.7,0.101634
339324,ZNF260,0.814,0.101658
113829,SLC35A4,0.754,0.101683
85459,CEP295,0.796,0.101683
79801,SHCBP1,0.726,0.101683
56154,TEX15,1,0.102245
8331,HIST1H2AJ,1.15,0.102651
23594,ORC6,0.852,0.102651
3709,ITPR2,0.726,0.10322
4722,NDUFS3,0.72,0.10322
151393,RMDN2,0.778,0.104097
112950,MED8,0.878,0.104487
8723,SNX4,0.824,0.104925
3633,INPP5B,0.844,0.104925
55142,HAUS2,0.814,0.10548
29796,UQCR10,0.768,0.106385
9452,ITM2A,0.88,0.106553
84910,TMEM87B,0.85,0.107243
25940,FAM98A,0.85,0.107617
617,BCS1L,0.894,0.10851
3329,HSPD1,0.842,0.108537
4338,MOCS2,0.738,0.108642
2937,GSS,0.746,0.109501
4778,NFE2,0.99,0.109697
4071,TM4SF1,0.85,0.110579
4835,NQO2,0.77,0.11145
79624,ARMT1,0.9,0.111505
23404,EXOSC2,0.802,0.111997
388561,ZNF761,0.876,0.112884
952,CD38,0.88,0.113002
157570,ESCO2,1.1,0.113261
51154,MRTO4,0.774,0.113261
64089,SNX16,0.71,0.114679
9859,CEP170,0.848,0.114977
1429,CRYZ,0.774,0.115017
5501,PPP1CC,0.72,0.115017
54465,ETAA1,0.72,0.115573
29089,UBE2T,0.9,0.115597
7764,ZNF217,0.888,0.11563
9343,EFTUD2,0.764,0.116394
10550,ARL6IP5,0.828,0.116394
56890,MDM1,0.708,0.116394
9768,KIAA0101,0.888,0.116401
5827,PXMP2,0.782,0.116543
64092,SAMSN1,1.38,0.116988
3065,HDAC1,0.872,0.117038
26806,SNORD44,0.876,0.117038
25788,RAD54B,0.84,0.117243
84924,ZNF566,0.776,0.117829
26765,SNORD12C,0.722,0.117934
80195,TMEM254,0.77,0.118206
8985,PLOD3,0.72,0.118435
55166,CENPQ,0.784,0.118578
27350,APOBEC3C,0.704,0.118648
839,CASP6,0.862,0.11868
10036,CHAF1A,0.722,0.11868
1438,CSF2RA,0.91,0.118871
1021,CDK6,0.708,0.119558
100529855,ZNF625-ZNF20,0.724,0.121056
3140,MR1,0.764,0.121603
5276,SERPINI2,0.708,0.121743
86,ACTL6A,0.76,0.122116
84172,POLR1B,0.842,0.122629
83990,BRIP1,1.07,0.12335
1164,CKS2,0.82,0.123779
80745,THUMPD2,0.784,0.124844
2720,GLB1,0.87,0.124993
34,ACADM,0.842,0.125225
201799,TMEM154,0.784,0.125772
7341,SUMO1,0.774,0.125856
25796,PGLS,0.73,0.126611
55589,BMP2K,0.852,0.127006
5921,RASA1,0.784,0.127006
55676,SLC30A6,0.784,0.127403
5591,PRKDC,0.866,0.127969
59,ACTA2,0.828,0.129117
64778,FNDC3B,0.834,0.129768
5972,REN,0.8,0.129844
983,CDK1,0.904,0.129881
