source,target,type,subtype
MIMAT0001413,ISCA2,mir_to_gene,
MIMAT0001413,YOD1,mir_to_gene,
MIMAT0001413,MIXL1,mir_to_gene,
MIMAT0001413,PTGES3,mir_to_gene,
MIMAT0001413,FBXO31,mir_to_gene,
MIMAT0001413,MFSD2A,mir_to_gene,
MIMAT0001413,ICA1L,mir_to_gene,
MIMAT0001413,ENPP5,mir_to_gene,
MIMAT0001413,CYCS,mir_to_gene,
MIMAT0001413,UBFD1,mir_to_gene,
MIMAT0001413,ENTPD7,mir_to_gene,
MIMAT0001413,NRIP3,mir_to_gene,
MIMAT0001413,ZNFX1,mir_to_gene,
MIMAT0001413,GATAD1,mir_to_gene,
MIMAT0001413,SLC30A1,mir_to_gene,
MIMAT0001413,C17orf75,mir_to_gene,
MIMAT0001413,ABCG8,mir_to_gene,
MIMAT0001413,PANK3,mir_to_gene,
MIMAT0001413,GPR157,mir_to_gene,
MIMAT0001413,SLC35F5,mir_to_gene,
MIMAT0001413,KLHL15,mir_to_gene,
MIMAT0001413,DDHD1,mir_to_gene,
MIMAT0001413,TRIM8,mir_to_gene,
MIMAT0001413,SLCO5A1,mir_to_gene,
MIMAT0001413,ZNF805,mir_to_gene,
MIMAT0001413,SLC1A5,mir_to_gene,
MIMAT0001413,TRAF3IP2,mir_to_gene,
MIMAT0001413,ZBED1,mir_to_gene,
MIMAT0001413,ZNF347,mir_to_gene,
MIMAT0001413,SAMD8,mir_to_gene,
MIMAT0001413,ARL1,mir_to_gene,
MIMAT0001413,KCNK6,mir_to_gene,
MIMAT0001413,SPTLC2,mir_to_gene,
MIMAT0001413,VPS26A,mir_to_gene,
MIMAT0001413,FEZ2,mir_to_gene,
MIMAT0001413,HMGB3,mir_to_gene,
MIMAT0001413,CHAF1A,mir_to_gene,
MIMAT0001413,MTF1,mir_to_gene,
MIMAT0001413,MXI1,mir_to_gene,
MIMAT0001413,LASP1,mir_to_gene,
MIMAT0001413,PVR,mir_to_gene,
MIMAT0001413,NFAT5,mir_to_gene,
MIMAT0001413,ZBTB6,mir_to_gene,
MIMAT0001413,NUDT3,mir_to_gene,
MIMAT0001413,GLO1,mir_to_gene,
MIMAT0001413,ZBTB25,mir_to_gene,
MIMAT0001413,BRCA1,mir_to_gene,
MIMAT0001413,CBX5,mir_to_gene,
MIMAT0001413,SF3B3,mir_to_gene,
MIMAT0001413,RACGAP1,mir_to_gene,
MIMAT0001413,SOCS5,mir_to_gene,
MIMAT0001413,WDR37,mir_to_gene,
MIMAT0001413,OSTM1,mir_to_gene,
MIMAT0001413,SPCS1,mir_to_gene,
MIMAT0001413,E2F5,mir_to_gene,
MIMAT0001413,HMGB1,mir_to_gene,
MIMAT0001413,ITGA2,mir_to_gene,
MIMAT0001413,JAK1,mir_to_gene,
MIMAT0001413,MSH3,mir_to_gene,
MIMAT0001413,PPP1R12B,mir_to_gene,
MIMAT0001413,PPP6C,mir_to_gene,
MIMAT0001413,RNASEH1,mir_to_gene,
MIMAT0001413,RORA,mir_to_gene,
MIMAT0001413,CCL5,mir_to_gene,
MIMAT0001413,E2F2,mir_to_gene,
MIMAT0001413,EFNB2,mir_to_gene,
MIMAT0001413,EIF2S1,mir_to_gene,
MIMAT0001413,KCNMB1,mir_to_gene,
MIMAT0001413,BNIP2,mir_to_gene,
MIMAT0001413,DUSP2,mir_to_gene,
MIMAT0001413,PKNOX1,mir_to_gene,
MIMAT0001413,WIPF2,mir_to_gene,
MIMAT0001413,ANKRD13C,mir_to_gene,
MIMAT0001413,MAPRE3,mir_to_gene,
MIMAT0001413,MFN1,mir_to_gene,
MIMAT0001413,KCND3,mir_to_gene,
MIMAT0001413,ESR1,mir_to_gene,
MIMAT0001413,ORAI2,mir_to_gene,
MIMAT0001413,KATNAL1,mir_to_gene,
MIMAT0001413,YIPF4,mir_to_gene,
MIMAT0001413,GINS4,mir_to_gene,
MIMAT0001413,DDI2,mir_to_gene,
MIMAT0001413,PURB,mir_to_gene,
MIMAT0001413,ZNF280B,mir_to_gene,
MIMAT0001413,C15orf40,mir_to_gene,
MIMAT0001413,CXorf38,mir_to_gene,
MIMAT0001413,VTI1A,mir_to_gene,
MIMAT0001413,ANKS4B,mir_to_gene,
MIMAT0001413,RRN3,mir_to_gene,
MIMAT0001413,ZYG11A,mir_to_gene,
MIMAT0001413,MAPK9,mir_to_gene,
MIMAT0001413,NME6,mir_to_gene,
MIMAT0001413,RUNX3,mir_to_gene,
MIMAT0001413,RPS6KA5,mir_to_gene,
MIMAT0001413,SOD2,mir_to_gene,
MIMAT0001413,USP48,mir_to_gene,
MIMAT0001413,ALDH9A1,mir_to_gene,
MIMAT0001413,REEP3,mir_to_gene,
MIMAT0001413,AKTIP,mir_to_gene,
MIMAT0001413,FBXO48,mir_to_gene,
MIMAT0001413,COX19,mir_to_gene,
MIMAT0001413,GPR155,mir_to_gene,
MIMAT0001413,MUC17,mir_to_gene,
MIMAT0001413,CRCP,mir_to_gene,
MIMAT0000076,MGAT4A,mir_to_gene,
MIMAT0000076,ZNF292,mir_to_gene,
MIMAT0000076,PBX1,mir_to_gene,
MIMAT0000076,DDAH1,mir_to_gene,
MIMAT0000076,LMBR1,mir_to_gene,
MIMAT0000076,NT5C2,mir_to_gene,
MIMAT0000076,PHF20L1,mir_to_gene,
MIMAT0000076,RSF1,mir_to_gene,
MIMAT0000076,SOX5,mir_to_gene,
MIMAT0000076,LONRF2,mir_to_gene,
MIMAT0000076,RALGPS2,mir_to_gene,
MIMAT0000076,HOXA9,mir_to_gene,
MIMAT0000076,FAM126B,mir_to_gene,
MIMAT0000076,ANKRD46,mir_to_gene,
MIMAT0000076,CKAP5,mir_to_gene,
MIMAT0000076,LPGAT1,mir_to_gene,
