symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ATF7IP	0.40868222106088137	0.6675290444605729	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09444353351797272	No data	No data	No data	0	0	0	0	0	0	No data	-0.8917815774958632	No data	0	No data	No data	0	-1	-1
CDKN2C	0.40833758380625856	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.5993633349071944	0.09550315302329637	No data	No data	0	0	0	0	0	0.6130949999999998	No data	-0.05052399338113622	-0.7296195844104209	0	No data	-1	0	0.5	-1
POGLUT3	0.40811515686287353	0.6675984981521399	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0743989087510422	No data	No data	No data	0	0	0	0	0	0.2702150000000003	No data	0.38985107556536125	No data	0	No data	No data	0	-1	-1
HERPUD1	0.40810108682336926	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	0.4293089083967066	No data	No data	No data	No data	No data	No data	No data	0.21022823435495852	No data	No data	No data	1	0	0	0	0	0.4373399999999997	No data	-0.48262548262548266	-0.1250770947412433	0	No data	No data	0	-1	-1
LMO1	0.40798461363924726	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	No data	No data	No data	No data	No data	No data	No data	0.19704630494476716	No data	No data	No data	0	0	0	0	0	0.935895	No data	-0.04026475455046885	-0.21797747014036806	0	No data	No data	-0.5833324999999998	0.5	0.5
GATA2	0.4077695350288997	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	No data	No data	No data	No data	0.194170014648562	0.03804578752026371	No data	No data	0	0	0	0	0	0.8958350000000003	No data	-0.858907887479316	-0.9316192088868405	0	No data	-1	-0.03645750000000003	-1	0
ATF1	0.40753141720229846	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	No data	No data	No data	No data	0.20324553867178155	No data	No data	No data	0	0	0	1	0	0.5571950000000001	No data	-0.4601213458356316	No data	0	No data	No data	-0.049815000000000074	-1	-1
SMARCE1	0.40708527266293604	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6395938599872263	No data	No data	No data	No data	No data	No data	No data	0.6006100459174079	No data	No data	No data	0	0	0	0	0	0.86618	No data	-0.8733590733590734	-0.6073682676390835	-1	No data	-1	0	-1	-1
KIF5B	0.40692361637390356	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6361096307560169	No data	No data	No data	No data	No data	No data	No data	0.6649763841336943	No data	No data	1	0	0	1	1	0	0.8546199999999999	No data	-0.759073359073359	-0.3854065181134503	0	No data	No data	-0.38733000000000006	-1	-1
KCNU1	0.4069123260361032	0.6693398782143305	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.12311086596800891	0	0	No data	No data	0	1	1
PITPNB	0.406673101471216	0.6634749947916496	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1094275435700918	No data	No data	No data	0	0	0	0	0	0.7970500000000001	No data	0.8521787093215665	No data	0	No data	No data	-0.41881999999999986	-1	-1
NFKBIE	0.4064329718694051	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	No data	No data	No data	No data	0.16710835538681437	No data	No data	No data	0	0	0	0	0	0.11357500000000016	No data	-0.49597352454495314	0	0	No data	-1	0	0.5	-1
EML4	0.4061845764806813	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6487854100603841	No data	No data	No data	0.06079307976116211	No data	No data	No data	0.17266959352841596	0.02576027014867739	No data	1	0	0	1	1	0	0.43425000000000014	1	-0.4650854936569222	-0.37346286206754703	0	No data	No data	0	-1	-1
TAL1	0.40574420832835034	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6612513946521403	No data	No data	No data	No data	No data	No data	No data	0.12334037263474838	No data	No data	No data	0	0	0	0	0	0.6525700000000001	No data	0.03949255377826799	-0.9590547687910708	0	No data	No data	0	0.5	0
FILIP1L	0.40524146724252935	0.6397886178540259	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5360564903673272	No data	No data	No data	1	0	0	0	0	0.18907499999999972	No data	-0.4560397131825703	No data	0	No data	No data	0	0.5	0
STIL	0.4048304794217897	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	No data	No data	No data	No data	0.8641701045590392	No data	No data	No data	0	0	0	0	0	0	No data	-0.6027578599007171	-0.6306355213158767	-1	No data	No data	No data	0.5	0
GNA11	0.4046657139230314	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	No data	No data	No data	No data	0.10896825281866832	No data	No data	No data	1	0	1	1	0	0.8885800000000004	No data	-0.814892443463872	-0.8490259825202492	0	No data	-1	-0.7562674999999999	-1	-1
PATZ1	0.40449375085952455	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6517524759394587	No data	No data	No data	No data	No data	No data	No data	0.2721805951862958	No data	No data	No data	0	0	0	0	0	0.9490549999999999	No data	-0.8608935466078323	-0.9061002770385831	0	No data	No data	0	-1	-1
