MeSH Symptom Term	MeSH Disease Term	PubMed occurrence	TFIDF score
Asthenia	Germinoma	1	2.0632192510535368
Asthenia	Craniopharyngioma	2	4.1264385021070735
Asthenia	Glioma	1	2.0632192510535368
Asthenia	Adenoma, Chromophobe	1	2.0632192510535368
Asthenia	Melanoma	2	4.1264385021070735
Asthenia	Neurilemmoma	1	2.0632192510535368
Asthenia	Teratoma	1	2.0632192510535368
Asthenia	Choriocarcinoma	1	2.0632192510535368
Asthenia	Gestational Trophoblastic Neoplasms	1	2.0632192510535368
Asthenia	Adenoma	4	8.252877004214147
Asthenia	Carcinoma	3	6.18965775316061
Asthenia	Adenocarcinoma	6	12.37931550632122
Asthenia	Carcinoma, Hepatocellular	1	2.0632192510535368
Asthenia	Carcinoma, Renal Cell	5	10.316096255267684
Asthenia	Carcinoma, Papillary	1	2.0632192510535368
Asthenia	Carcinoma, Squamous Cell	3	6.18965775316061
Asthenia	Meningioma	1	2.0632192510535368
Asthenia	Multiple Myeloma	10	20.63219251053537
Asthenia	Plasmacytoma	1	2.0632192510535368
Asthenia	Waldenstrom Macroglobulinemia	2	4.1264385021070735
Asthenia	Peritoneal Neoplasms	2	4.1264385021070735
Asthenia	Retroperitoneal Neoplasms	1	2.0632192510535368
Asthenia	Breast Neoplasms	10	20.63219251053537
Asthenia	Gastrointestinal Neoplasms	1	2.0632192510535368
Asthenia	Esophageal Neoplasms	1	2.0632192510535368
Asthenia	Intestinal Neoplasms	1	2.0632192510535368
Asthenia	Cecal Neoplasms	2	4.1264385021070735
Asthenia	Colorectal Neoplasms	3	6.18965775316061
Asthenia	Colonic Neoplasms	1	2.0632192510535368
Asthenia	Rectal Neoplasms	2	4.1264385021070735
Asthenia	Stomach Neoplasms	9	18.56897325948183
Asthenia	Liver Neoplasms	5	10.316096255267684
Asthenia	Pancreatic Neoplasms	2	4.1264385021070735
Asthenia	Ovarian Neoplasms	3	6.18965775316061
Asthenia	Parathyroid Neoplasms	2	4.1264385021070735
Asthenia	Pituitary Neoplasms	3	6.18965775316061
Asthenia	Head and Neck Neoplasms	4	8.252877004214147
Asthenia	Facial Neoplasms	1	2.0632192510535368
Asthenia	Mouth Neoplasms	2	4.1264385021070735
Asthenia	Laryngeal Neoplasms	1	2.0632192510535368
Asthenia	Oropharyngeal Neoplasms	1	2.0632192510535368
Asthenia	Hematologic Neoplasms	1	2.0632192510535368
Asthenia	Brain Neoplasms	4	8.252877004214147
Asthenia	Cerebral Ventricle Neoplasms	1	2.0632192510535368
Asthenia	Meningeal Neoplasms	1	2.0632192510535368
Asthenia	Spinal Cord Neoplasms	1	2.0632192510535368
Asthenia	Skin Neoplasms	3	6.18965775316061
Asthenia	Muscle Neoplasms	1	2.0632192510535368
Asthenia	Heart Neoplasms	2	4.1264385021070735
Asthenia	Mediastinal Neoplasms	1	2.0632192510535368
Asthenia	Lung Neoplasms	16	33.01150801685659
Asthenia	Carcinoma, Non-Small-Cell Lung	11	22.695411761588904
Asthenia	Thymus Neoplasms	1	2.0632192510535368
Asthenia	Uterine Neoplasms	2	4.1264385021070735
Asthenia	Prostatic Neoplasms	1	2.0632192510535368
Asthenia	Urologic Neoplasms	1	2.0632192510535368
Asthenia	Kidney Neoplasms	8	16.505754008428294
Asthenia	Neoplasms, Experimental	1	2.0632192510535368
Asthenia	Neoplasms, Multiple Primary	1	2.0632192510535368
Asthenia	Neoplasm Recurrence, Local	2	4.1264385021070735
Asthenia	Paraneoplastic Syndromes	2	4.1264385021070735
Asthenia	Acrocephalosyndactylia	1	2.0632192510535368
Asthenia	Marfan Syndrome	1	2.0632192510535368
Asthenia	Acromegaly	1	2.0632192510535368
Asthenia	Osteoporosis	5	10.316096255267684
