source,target,type,subtype,final_layer_mean_attn,final_layer_max_attn
ELK4,fu:839c82c3,gene_to_fu,,0.3333333432674408,0.3333333432674408
ELK1,fu:839c82c3,gene_to_fu,,0.3333333432674408,0.3333333432674408
fu:c3d880e8,fu:7d8d1672,protein_protein_interaction,activation,0.4996856153011322,0.500187873840332
fu:cbc27d79,fu:cb603216,protein_protein_interaction,activation,0.07139266282320023,0.07146374136209488
fu:ea3af571,fu:cb603216,protein_protein_interaction,activation,0.0713610127568245,0.07163212448358536
fu:a6602c7f,fu:cb603216,protein_protein_interaction,activation,0.07138174772262573,0.07153362780809402
fu:5264ac6f,fu:7cec7b64,protein_protein_interaction,activation,0.3334163725376129,0.3340034484863281
fu:93677f06,fu:cb1c88d1,protein_protein_interaction,activation,0.49975842237472534,0.500187873840332
fu:5b3ce1d9,fu:9274968e,protein_protein_interaction,activation,0.3331795930862427,0.33341875672340393
fu:d4ebbf2b,fu:12950895,protein_protein_interaction,activation,0.49970799684524536,0.500187873840332
fu:619d8916,fu:e1dd59a5,protein_protein_interaction,activation,0.33303308486938477,0.33350035548210144
fu:12950895,fu:02465256,protein_protein_interaction,activation,0.3335006833076477,0.33505356311798096
fu:e1dd59a5,fu:02465256,protein_protein_interaction,activation,0.33300405740737915,0.3340218663215637
fu:0d65318d,fu:727cb396,protein_protein_interaction,binding/association,0.037019237875938416,0.0372704342007637
fu:9bd0df30,fu:0d65318d,protein_protein_interaction,binding/association,0.4996556043624878,0.500187873840332
fu:545ebf7d,fu:4d346bcc,protein_protein_interaction,binding/association,0.2499237358570099,0.2501215934753418
fu:3285e573,fu:4d346bcc,protein_protein_interaction,binding/association,0.2499237358570099,0.2501215934753418
fu:dc542d4d,fu:7b593a5c,protein_protein_interaction,binding/association,0.33316004276275635,0.33382272720336914
fu:dc542d4d,fu:f449b983,protein_protein_interaction,binding/association,0.33316004276275635,0.33382272720336914
fu:93eeec94,fu:ee804b17,protein_protein_interaction,binding/association,0.14284607768058777,0.14294853806495667
fu:93eeec94,fu:4781eb07,protein_protein_interaction,binding/association,0.14284998178482056,0.14294853806495667
fu:7c6d4d4a,fu:93eeec94,protein_protein_interaction,binding/association,0.4998958706855774,0.5010489225387573
fu:92589075,fu:fefb3eac,protein_protein_interaction,binding/association,0.10000960528850555,0.10013838112354279
fu:92589075,fu:66672553,protein_protein_interaction,binding/association,0.14293131232261658,0.14302246272563934
fu:92589075,fu:28d07664,protein_protein_interaction,binding/association,0.33351996541023254,0.3340032696723938
fu:92589075,fu:c7fdd986,protein_protein_interaction,binding/association,0.49982699751853943,0.5000960826873779
fu:fefb3eac,fu:be5424aa,protein_protein_interaction,binding/association,0.19997258484363556,0.2002583146095276
fu:d7921de4,fu:be5424aa,protein_protein_interaction,binding/association,0.20000559091567993,0.20030418038368225
fu:66672553,fu:be5424aa,protein_protein_interaction,binding/association,0.19994652271270752,0.20049867033958435
fu:be5424aa,fu:210acb65,protein_protein_interaction,binding/association,0.12484544515609741,0.12507319450378418
fu:28d07664,fu:be5424aa,protein_protein_interaction,binding/association,0.1998736709356308,0.19994398951530457
fu:fefb3eac,fu:5d3f8d6d,protein_protein_interaction,binding/association,0.24988573789596558,0.2506755292415619
fu:d7921de4,fu:5d3f8d6d,protein_protein_interaction,binding/association,0.24992698431015015,0.2507329285144806
fu:d7921de4,fu:d00c086a,protein_protein_interaction,binding/association,0.49985605478286743,0.5014371275901794
fu:d7921de4,fu:05519816,protein_protein_interaction,binding/association,0.33323240280151367,0.33455270528793335
fu:0ddd2c17,fu:5264ac6f,protein_protein_interaction,phosphorylation,0.3331287205219269,0.3334463834762573
fu:6fc31f40,fu:cb603216,protein_protein_interaction,phosphorylation,0.07142522186040878,0.0714835599064827
fu:6fc31f40,fu:5324c493,protein_protein_interaction,phosphorylation,0.33345741033554077,0.3340924382209778
fu:9bd0df30,fu:cb603216,protein_protein_interaction,activation,0.07139266282320023,0.07146374136209488
fu:cb603216,fu:7cec7b64,protein_protein_interaction,activation,0.33303606510162354,0.33400726318359375
fu:cb603216,fu:5324c493,protein_protein_interaction,activation,0.33277758955955505,0.3346247375011444
fu:7cec7b64,fu:ee804b17,protein_protein_interaction,phosphorylation,0.14280377328395844,0.14296002686023712
fu:7cec7b64,fu:4781eb07,protein_protein_interaction,phosphorylation,0.14280767738819122,0.14296002686023712
fu:5324c493,fu:ee804b17,protein_protein_interaction,phosphorylation,0.14273378252983093,0.14321467280387878
fu:5324c493,fu:4781eb07,protein_protein_interaction,phosphorylation,0.14273124933242798,0.14321467280387878
fu:ee804b17,fu:7c6d4d4a,protein_protein_interaction,phosphorylation,0.16648447513580322,0.16700361669063568
fu:4781eb07,fu:7c6d4d4a,protein_protein_interaction,phosphorylation,0.1665085256099701,0.16698652505874634
fu:7c6d4d4a,fu:7e702847,protein_protein_interaction,phosphorylation,0.4998959004878998,0.5010489225387573
fu:7c6d4d4a,fu:e661480b,protein_protein_interaction,phosphorylation,0.4998958706855774,0.5010489225387573
fu:7c6d4d4a,fu:0c2b138c,protein_protein_interaction,phosphorylation,0.12501117587089539,0.1254558116197586
fu:7c6d4d4a,fu:642e62d6,protein_protein_interaction,phosphorylation,0.3332938849925995,0.33426639437675476
fu:7c6d4d4a,fu:99084968,protein_protein_interaction,phosphorylation,0.19997075200080872,0.20057737827301025
fu:7c6d4d4a,fu:7b593a5c,protein_protein_interaction,phosphorylation,0.3332207202911377,0.3341827392578125
fu:7c6d4d4a,fu:f449b983,protein_protein_interaction,phosphorylation,0.3332206904888153,0.3341827392578125
fu:642e62d6,fu:f64183b7,protein_protein_interaction,phosphorylation,0.33323609828948975,0.33359581232070923
fu:99084968,fu:f64183b7,protein_protein_interaction,phosphorylation,0.3331236243247986,0.33347824215888977
fu:7c6d4d4a,fu:8f8c2fbf,protein_protein_interaction,phosphorylation,0.3332900106906891,0.33426639437675476
fu:e2794b69,fu:210acb65,protein_protein_interaction,activation,0.12497100234031677,0.12517985701560974
fu:e2794b69,fu:9a263ecd,protein_protein_interaction,activation,0.24979522824287415,0.25003233551979065
fu:eda4acea,fu:b9db94ef,protein_protein_interaction,activation,0.33340346813201904,0.33411988615989685
fu:af1b2d2f,fu:b8f9f795,protein_protein_interaction,activation,0.49997377395629883,0.5008854269981384
fu:af1b2d2f,fu:aacf07bb,protein_protein_interaction,activation,0.20008298754692078,0.20050150156021118
fu:af1b2d2f,fu:210acb65,protein_protein_interaction,activation,0.12506413459777832,0.12533286213874817
fu:02465256,fu:aacf07bb,protein_protein_interaction,activation,0.19974049925804138,0.20063135027885437
fu:41822415,fu:8cf03d63,protein_protein_interaction,activation,0.5,0.5
fu:9a263ecd,fu:6dc0c7f6,protein_protein_interaction,phosphorylation,0.33304503560066223,0.3338949978351593
fu:c7fdd986,fu:28d07664,protein_protein_interaction,phosphorylation,0.3327292203903198,0.3336482048034668
fu:f0d46f11,fu:210acb65,protein_protein_interaction,phosphorylation,0.1251004934310913,0.12527398765087128
fu:d0d79cd1,fu:210acb65,protein_protein_interaction,phosphorylation,0.1251004934310913,0.12527398765087128
fu:1ee1c600,fu:66672553,protein_protein_interaction,phosphorylation,0.14293131232261658,0.14302246272563934
fu:e7b77b07,fu:66672553,protein_protein_interaction,phosphorylation,0.1428985595703125,0.14300166070461273
fu:8ce177b4,fu:66672553,protein_protein_interaction,phosphorylation,0.142833411693573,0.1429620236158371
fu:aacf07bb,fu:416a5afd,protein_protein_interaction,phosphorylation,0.14263547956943512,0.14360277354717255
fu:aacf07bb,fu:5e60e9dc,protein_protein_interaction,phosphorylation,0.14263547956943512,0.14360277354717255
