Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000164330,EBF1,-1.079781251,0.00309328
ENSG00000148690,FRA10AC1,-1.083340462,0.00035989
ENSG00000072071,ADGRL1,-1.085791165,0.028247168
ENSG00000184661,CDCA2,-1.087191563,0.020950089
ENSG00000182240,BACE2,-1.087992999,0.025232769
ENSG00000088305,DNMT3B,-1.091671822,0.014436167
ENSG00000179431,FJX1,-1.092079118,0.00028151
ENSG00000196305,IARS1,-1.09229692,0.003702649
ENSG00000151491,EPS8,-1.093446739,0.000710065
ENSG00000150760,DOCK1,-1.094093315,0.002331472
ENSG00000187391,MAGI2,-1.094123215,0.023997788
ENSG00000105245,NUMBL,-1.094137063,0.049278823
ENSG00000122970,IFT81,-1.097777751,0.001276027
ENSG00000111674,ENO2,-1.099065056,0.026618781
ENSG00000135919,SERPINE2,-1.103750773,0.007033283
ENSG00000141837,CACNA1A,-1.105565138,0.000742614
ENSG00000073711,PPP2R3A,-1.107086929,0.010619568
ENSG00000163001,CFAP36,-1.107813444,0.000149841
ENSG00000167123,CERCAM,-1.111162234,0.015026434
ENSG00000124571,XPO5,-1.11154403,0.004758755
ENSG00000155380,SLC16A1,-1.112272343,9.37E-05
ENSG00000185189,NRBP2,-1.114567497,0.004891451
ENSG00000128595,CALU,-1.114889408,4.06E-08
ENSG00000107249,GLIS3,-1.116728147,0.000994104
ENSG00000177425,PAWR,-1.120182096,0.006422916
ENSG00000152413,HOMER1,-1.127895165,0.002165121
ENSG00000102878,HSF4,-1.130173304,0.02437853
ENSG00000140859,KIFC3,-1.132211144,0.003065231
ENSG00000149485,FADS1,-1.132825258,1.07E-05
ENSG00000138413,IDH1,-1.134509579,0.001275449
ENSG00000111886,GABRR2,-1.137016507,0.008363116
ENSG00000008441,NFIX,-1.137745487,2.77E-05
ENSG00000198929,NOS1AP,-1.138415302,0.003695672
ENSG00000137563,GGH,-1.138448267,0.000339614
ENSG00000175197,DDIT3,-1.138556413,2.05E-06
ENSG00000120254,MTHFD1L,-1.139637673,0.000662633
ENSG00000044574,HSPA5,-1.139948155,5.78E-07
ENSG00000120075,HOXB5,-1.151945285,0.028655465
ENSG00000165338,HECTD2,-1.154654091,0.014177961
ENSG00000088899,LZTS3,-1.155621594,0.000899643
ENSG00000177688,SUMO4,-1.1574715,0.002981222
ENSG00000078246,TULP3,-1.158404383,0.006640818
ENSG00000253293,HOXA10,-1.161721487,0.006807519
ENSG00000106299,WASL,-1.164348253,1.16E-08
ENSG00000130962,PRRG1,-1.168505338,0.026889234
ENSG00000143387,CTSK,-1.170668559,0.00599879
ENSG00000072134,EPN2,-1.17077374,0.012837524
ENSG00000266967,AARSD1,-1.172357492,0.020523938
ENSG00000152763,DNAI4,-1.17413913,0.030306416
ENSG00000132000,PODNL1,-1.177264089,0.00411632
ENSG00000149257,SERPINH1,-1.179940396,0.032754282
ENSG00000115641,FHL2,-1.182244076,0.00691337
ENSG00000136153,LMO7,-1.184312812,0.005288873
ENSG00000119042,SATB2,-1.184670019,0.013213858
ENSG00000101019,UQCC1,-1.18495437,0.004316565
