Source1,Source2,Weight_mean
alcoholism,sepsis,0.027
alcoholism,sickle cell anemia,0.0385
alcoholism,sinusitis,0.09
alcoholism,sleep apnea,0.0448571
alcoholism,spondylosis,0.056125
alcoholism,sprained ankle,0.018
alcoholism,sprained knee,0.01675
alcoholism,sprained wrist,0.0345
alcoholism,stomach flu,0.07575
alcoholism,stomach ulcer,0.0655
alcoholism,strep throat,0.0295
alcoholism,stroke,0.0401875
alcoholism,tension headache,0.122833
alcoholism,thoracic radiculopathy,0.0865
alcoholism,thyroid cancer,0.0275
alcoholism,thyroid nodules,0.0195
alcoholism,traumatic brain injury,0.0292273
alcoholism,type 1 diabetes,0.03575
alcoholism,type 2 diabetes,0.006
alcoholism,ulcerative colitis,0.03775
alcoholism,upper respiratory infection,0.0345
alcoholism,urinary tract infection,0.0171667
alcoholism,vitamin d deficiency,0.0681667
alzheimer's disease,anaphylaxis,0.014125
alzheimer's disease,anemia,0.0295
alzheimer's disease,aneurysm,0.01775
alzheimer's disease,angina,0.0192
alzheimer's disease,aphasia,0.0605
alzheimer's disease,arrhythmia,0.0481
alzheimer's disease,arthritis,0.0173
alzheimer's disease,asthma,0.0435
alzheimer's disease,atopic dermatitis,0.0141667
alzheimer's disease,atrial fibrillation,0.0217778
alzheimer's disease,bed bug bite,0.02
alzheimer's disease,bell's palsy,0.0455
alzheimer's disease,bipolar disorder,0.0276
alzheimer's disease,bladder cancer,0.0226667
alzheimer's disease,bone fracture,0.0259
alzheimer's disease,bone infection,0.020125
alzheimer's disease,borderline personality disorder,0.059
alzheimer's disease,brain tumor,0.0553125
alzheimer's disease,breast cancer,0.0231667
alzheimer's disease,bronchitis,0.169
alzheimer's disease,burn,0.0145
alzheimer's disease,cardiac arrest,0.013625
alzheimer's disease,cardiomyopathy,0.0206
alzheimer's disease,carpal tunnel syndrome,0.021625
alzheimer's disease,cataracts,0.0216667
alzheimer's disease,celiac disease,0.021
alzheimer's disease,cellulitis,0.017
