source,target,source_label,target_label,type,subtype
hsa:7423,fu:bc721fb9,VEGFB,fu:bc721fb9,gene_to_fu,
hsa:7424,fu:bc721fb9,VEGFC,fu:bc721fb9,gene_to_fu,
hsa:80310,fu:bc721fb9,PDGFD,fu:bc721fb9,gene_to_fu,
hsa:8074,fu:bc721fb9,FGF23,fu:bc721fb9,gene_to_fu,
hsa:8817,fu:bc721fb9,FGF18,fu:bc721fb9,gene_to_fu,
hsa:8822,fu:bc721fb9,FGF17,fu:bc721fb9,gene_to_fu,
hsa:8823,fu:bc721fb9,FGF16,fu:bc721fb9,gene_to_fu,
hsa:9048,fu:bc721fb9,ARTN,fu:bc721fb9,gene_to_fu,
hsa:9965,fu:bc721fb9,FGF19,fu:bc721fb9,gene_to_fu,
hsa:8717,fu:cb915a0e,TRADD,fu:cb915a0e,gene_to_fu,
hsa:4615,fu:52a67244,MYD88,fu:52a67244,gene_to_fu,
hsa:3654,fu:b626b1e9,IRAK1,fu:b626b1e9,gene_to_fu,
hsa:51135,fu:b626b1e9,IRAK4,fu:b626b1e9,gene_to_fu,
hsa:369,fu:35b0cd0d,ARAF,fu:35b0cd0d,gene_to_fu,
hsa:4149,fu:1e863058,MAX,fu:1e863058,gene_to_fu,
hsa:4609,fu:e7bc3157,MYC,fu:e7bc3157,gene_to_fu,
hsa:4149,fu:e7bc3157,MAX,fu:e7bc3157,gene_to_fu,
hsa:6722,fu:661a5763,SRF,fu:661a5763,gene_to_fu,
hsa:2005,fu:661a5763,ELK4,fu:661a5763,gene_to_fu,
hsa:2002,fu:661a5763,ELK1,fu:661a5763,gene_to_fu,
fu:d5424c45,fu:5e9bf09f,fu:d5424c45,fu:5e9bf09f,protein_protein_interaction,activation
fu:5291bfed,fu:6af6d78a,fu:5291bfed,fu:6af6d78a,protein_protein_interaction,activation
fu:d9cb13f7,fu:6af6d78a,fu:d9cb13f7,fu:6af6d78a,protein_protein_interaction,activation
fu:bbc827fb,fu:6af6d78a,fu:bbc827fb,fu:6af6d78a,protein_protein_interaction,activation
fu:307bc9c7,fu:31df8378,fu:307bc9c7,fu:31df8378,protein_protein_interaction,activation
fu:38d52bc5,fu:7c5dbbe7,fu:38d52bc5,fu:7c5dbbe7,protein_protein_interaction,activation
fu:89eef994,fu:6d9f19be,fu:89eef994,fu:6d9f19be,protein_protein_interaction,activation
fu:660f6698,fu:1520c439,fu:660f6698,fu:1520c439,protein_protein_interaction,activation
fu:868fd6f8,fu:b35242a6,fu:868fd6f8,fu:b35242a6,protein_protein_interaction,activation
fu:1520c439,fu:c52cf97a,fu:1520c439,fu:c52cf97a,protein_protein_interaction,activation
