id,label,full_label,type,logic,pathway
hsa:5601,MAPK9,"MAPK9, JNK-55, JNK2, JNK2A, JNK2ALPHA, JNK2B, JNK2BETA, PRKM9, SAPK, SAPK1a, p54a, p54aSAPK; mitogen-activated protein kinase 9 isoform alpha2",gene,,path:hsa04010
hsa:5602,MAPK10,"MAPK10, JNK3, JNK3A, PRKM10, SAPK1b, p493F12, p54bSAPK; mitogen-activated protein kinase 10 isoform 1",gene,,path:hsa04010
fu:53b10c28,fu:53b10c28,,functional_unit,OR,path:hsa04010
hsa:6416,MAP2K4,"MAP2K4, JNKK, JNKK1, MAPKK4, MEK4, MKK4, PRKMK4, SAPKK-1, SAPKK1, SEK1, SERK1, SKK1; dual specificity mitogen-activated protein kinase kinase 4 isoform 1",gene,,path:hsa04010
fu:41179064,fu:41179064,,functional_unit,SINGLE,path:hsa04010
hsa:1398,CRK,"CRK, CRKII, p38; adapter molecule crk isoform a",gene,,path:hsa04010
hsa:1399,CRKL,CRKL; crk-like protein,gene,,path:hsa04010
fu:42c68f20,fu:42c68f20,,functional_unit,OR,path:hsa04010
hsa:408,ARRB1,"ARRB1, ARB1, ARR1; beta-arrestin-1 isoform A",gene,,path:hsa04010
hsa:409,ARRB2,"ARRB2, ARB2, ARR2, BARR2; beta-arrestin-2 isoform 1",gene,,path:hsa04010
fu:d07d8b68,fu:d07d8b68,,functional_unit,OR,path:hsa04010
hsa:2122,MECOM,"MECOM, AML1-EVI-1, EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3, RUSAT2; histone-lysine N-methyltransferase MECOM isoform f",gene,,path:hsa04010
fu:29014263,fu:29014263,,functional_unit,SINGLE,path:hsa04010
hsa:3303,HSPA1A,"HSPA1A, HEL-S-103, HSP70, HSP70-1, HSP70-1A, HSP70-2, HSP70.1, HSP70.2, HSP70I, HSP72, HSPA1; heat shock 70 kDa protein 1A",gene,,path:hsa04010
hsa:3304,HSPA1B,"HSPA1B, HSP70-1, HSP70-1B, HSP70-2, HSP70.1, HSP70.2, HSP72, HSPA1, HSX70; heat shock 70 kDa protein 1B",gene,,path:hsa04010
hsa:3305,HSPA1L,"HSPA1L, HSP70-1L, HSP70-HOM, HSP70T, hum70t; heat shock 70 kDa protein 1-like",gene,,path:hsa04010
hsa:3310,HSPA6,"HSPA6, HSP70B'; heat shock 70 kDa protein 6",gene,,path:hsa04010
hsa:3312,HSPA8,"HSPA8, HEL-33, HEL-S-72p, HSC54, HSC70, HSC71, HSP71, HSP73, HSPA10, LAP-1, LAP1, NIP71; heat shock cognate 71 kDa protein isoform 1",gene,,path:hsa04010
fu:6a00b55c,fu:6a00b55c,,functional_unit,OR,path:hsa04010
hsa:3727,JUND,"JUND, AP-1; transcription factor JunD isoform JunD-FL",gene,,path:hsa04010
fu:84a61edc,fu:84a61edc,,functional_unit,SINGLE,path:hsa04010
hsa:2353,FOS,"FOS, AP-1, C-FOS, p55; protein c-Fos",gene,,path:hsa04010
hsa:3725,JUN,"JUN, AP-1, AP1, c-Jun, cJUN, p39; transcription factor Jun",gene,,path:hsa04010
fu:45d37654,fu:45d37654,,functional_unit,OR,path:hsa04010
hsa:4775,NFATC3,"NFATC3, NF-AT4c, NFAT4, NFATX, n339260; nuclear factor of activated T-cells, cytoplasmic 3 isoform 1",gene,,path:hsa04010
fu:d66dccc5,fu:d66dccc5,,functional_unit,SINGLE,path:hsa04010
hsa:4772,NFATC1,"NFATC1, NF-ATC, NF-ATc1.2, NFAT2, NFATc; nuclear factor of activated T-cells, cytoplasmic 1 isoform F",gene,,path:hsa04010
fu:a8faa1a3,fu:a8faa1a3,,functional_unit,SINGLE,path:hsa04010
hsa:5530,PPP3CA,"PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B; protein phosphatase 3 catalytic subunit alpha isoform 1",gene,,path:hsa04010
hsa:5532,PPP3CB,"PPP3CB, CALNA2, CALNB, CNA2, PP2Bbeta; serine/threonine-protein phosphatase 2B catalytic subunit beta isoform isoform b",gene,,path:hsa04010
